"","dactinomycin","9-aminoacridine","amsacrine","anisomycin","belinostat","bendamustine","brefeldin-a","cisplatin","cytochalasin-d","daunorubicin","desipramine","digitoxin","doxorubicin","DTT","dynasore","emetine","alvocidib","floxuridine","fluvastatin","gemcitabine","haloperidol","irinotecan","latrunculin-a","leupeptin","lomustine","methotrexate","MG-101","mitomycin-c","mitoxantrone","monensin","nocodazole","paclitaxel","perifosine","puromycin","mepacrine","sirolimus","deforolimus","rolipram","sirtinol","tanespimycin","tetrandrine","tolfenamic-acid","trichostatin-a","vincristine","vorinostat","amygdalin","antimycin-a","bleomycin","BTB06584","chlortetracycline","CK-636","CPI-613","eliglustat","erastin","FCCP","golgicide-A","LTX-315","mdivi-1","MLN0128","NSC-697923","oligomycin-a","picropodophyllin","pifithrin-mu","selinexor","tunicamycin"
"dactinomycin","1","0.539034943","0.592713501","0.632122","0.600516682","0.60856575","0.583508706","0.50254359","0.691481388","0.694504816","0.58921968","0.594874057","0.695694501","0.519313005","0.585837085","0.652116713","0.674304477","0.616883111","0.657322431","0.631279968","0.597637532","0.735945467","0.647088506","0.585969885","0.554272602","0.657887659","0.574233123","0.714816358","0.62190531","0.577473745","0.622346295","0.694231879","0.550274297","0.713856894","0.611438638","0.675155151","0.680919874","0.624305039","0.622002861","0.681157631","0.643383831","0.571977321","0.588311489","0.756174678","0.567552393","0.612807769","0.671177835","0.774690337","0.607051704","0.694716298","0.627514285","0.572034774","0.663869224","0.688550904","0.545784941","0.655471831","0.659987316","0.611935193","0.644414386","0.584554659","0.614075924","0.649631405","0.528695325","0.627947288","0.700687034"
"9-aminoacridine","0.539034943","1","0.65327747","0.539584036","0.560825946","0.566124298","0.521018296","0.5","0.539871148","0.539274196","0.557275481","0.526575624","0.538742285","0.511766298","0.554375794","0.53954421","0.533524156","0.535886731","0.562290569","0.535616982","0.541480984","0.545123016","0.534790749","0.524386442","0.530701617","0.556732488","0.518251445","0.533450239","0.557289422","0.521378387","0.553451792","0.536618166","0.512762846","0.541305942","0.641217194","0.539274196","0.537958288","0.544462665","0.560031642","0.532401354","0.539380399","0.575943821","0.56030556","0.543404357","0.581082197","0.534910127","0.552682235","0.534981525","0.551529299","0.536318105","0.57912895","0.536467434","0.534555836","0.548757723","0.576505152","0.560264157","0.569450767","0.560328743","0.549781193","0.560518993","0.52651631","0.533098164","0.554073068","0.544363224","0.536318105"
"amsacrine","0.592713501","0.65327747","1","0.585663946","0.599483709","0.592358093","0.547582232","0.502583406","0.583855884","0.595689147","0.600603017","0.554867263","0.595217189","0.520098286","0.575532896","0.591198863","0.575562972","0.564787964","0.594603558","0.570061387","0.555981987","0.601476374","0.574629604","0.545133669","0.540952344","0.596326517","0.533788313","0.578490773","0.593958582","0.545142718","0.584715383","0.583688456","0.536516675","0.59642464","0.684267143","0.582186799","0.581488184","0.590316446","0.591289058","0.578588047","0.58435098","0.611190317","0.576318514","0.606218481","0.581265906","0.566138158","0.598995787","0.59553675","0.582742417","0.583131633","0.598241199","0.553742371","0.579263032","0.611812369","0.58326452","0.596799879","0.595361665","0.613290648","0.586621804","0.568481453","0.56227774","0.577225607","0.542980036","0.574949278","0.583863773"
"anisomycin","0.632122","0.539584036","0.585663946","1","0.592612635","0.590661728","0.592900897","0.503343568","0.690007532","0.639708635","0.605291054","0.596837982","0.640540618","0.533745876","0.583991176","0.691438295","0.634378759","0.61326783","0.596431493","0.614148787","0.629223985","0.63187607","0.609186448","0.573173707","0.571376406","0.612439457","0.568097526","0.616102475","0.606628197","0.58806297","0.590309607","0.650307799","0.571294954","0.662483355","0.614921837","0.631249912","0.629464803","0.678658779","0.628964383","0.616249853","0.647542539","0.571545863","0.605323966","0.642102201","0.585215877","0.605684898","0.630797585","0.617072009","0.599420695","0.634016632","0.605386979","0.582366793","0.696755024","0.617337883","0.563360824","0.613153475","0.64295156","0.595846263","0.59307275","0.584104768","0.60005136","0.675362949","0.544577457","0.584152322","0.62424406"
"belinostat","0.600516682","0.560825946","0.599483709","0.592612635","1","0.586260489","0.560764772","0.501271113","0.601277007","0.596773449","0.582288795","0.557348791","0.59861548","0.525029284","0.57029529","0.584815575","0.604997045","0.585272553","0.603913485","0.573272138","0.565337564","0.610143301","0.581907284","0.546935126","0.547634376","0.593846415","0.548272109","0.589505688","0.579023396","0.543824149","0.578304402","0.591984199","0.542042272","0.585654012","0.583363473","0.579236375","0.580253047","0.586391024","0.592947801","0.591489409","0.575798671","0.597108367","0.599657568","0.600796055","0.584642552","0.574349177","0.58673023","0.590587802","0.596319231","0.594758988","0.582189562","0.574991647","0.58334849","0.587349018","0.562012724","0.588198496","0.586505209","0.587458213","0.587867943","0.596479911","0.563715144","0.585646572","0.555100028","0.592406836","0.590153817"
"bendamustine","0.60856575","0.566124298","0.592358093","0.590661728","0.586260489","1","0.562836001","0.502262914","0.605287856","0.600464535","0.594603558","0.571706736","0.599203968","0.525851473","0.573984892","0.590827476","0.592212171","0.58673023","0.620883238","0.577892262","0.579195064","0.616616458","0.592823581","0.560601902","0.565057892","0.631598063","0.554884369","0.600583893","0.609141155","0.564638197","0.594404293","0.596029739","0.55380619","0.616696079","0.619082675","0.594775597","0.598631566","0.585837085","0.589758996","0.59876505","0.588786135","0.578402193","0.59806459","0.623448889","0.593252903","0.579218965","0.60495836","0.614172466","0.581807871","0.601594036","0.614373867","0.569272817","0.593857382","0.614020027","0.551014323","0.605086656","0.603977358","0.603574993","0.601089381","0.580739247","0.580008273","0.588699005","0.538126475","0.596326517","0.597761515"
"brefeldin-a","0.583508706","0.521018296","0.547582232","0.592900897","0.560764772","0.562836001","1","0.503160617","0.661604249","0.579044658","0.541774181","0.708621145","0.580991862","0.542296894","0.540347452","0.56579711","0.58202493","0.589325446","0.59348058","0.584235541","0.557774549","0.592527038","0.664250611","0.544444594","0.544953041","0.565881324","0.545701141","0.608986756","0.568702141","0.602582537","0.555776724","0.640620513","0.558590888","0.573637651","0.554170503","0.651594318","0.643653627","0.570135383","0.548764576","0.620831803","0.556827755","0.538475224","0.567734536","0.588804421","0.55661894","0.586294885","0.596964587","0.58305707","0.54637451","0.607125173","0.554863867","0.586632781","0.569345666","0.559393952","0.536496009","0.564360162","0.566090445","0.556459203","0.560888082","0.549885506","0.73569758","0.588287157","0.522700679","0.56658359","0.600158153"
"cisplatin","0.50254359","0.5","0.502583406","0.503343568","0.501271113","0.502262914","0.503160617","1","0.502902535","0.502446626","0.5","0.501266468","0.502412563","0.506459397","0.503117965","0.50279524","0.503117965","0.501020374","0.501470691","0.500979981","0.501577819","0.501466542","0.501657029","0.5","0.50501162","0.501681142","0.5","0.501965591","0.501032534","0.501607085","0.502013164","0.50134773","0.5","0.502960807","0.502404195","0.5015496","0.501461389","0.501148913","0.501252735","0.502720278","0.502639145","0.503477775","0.501535866","0.502143926","0.501984348","0.501094488","0.500887164","0.502064737","0.503999516","0.502477229","0.5","0.501907881","0.502693848","0.503630798","0.502825626","0.500777675","0.500827829","0.50442036","0.500774201","0.501592317","0.501091043","0.501705968","0.504046209","0.501851813","0.501853464"
"cytochalasin-d","0.691481388","0.539871148","0.583855884","0.690007532","0.601277007","0.605287856","0.661604249","0.502902535","1","0.66888818","0.600283873","0.640616011","0.67123903","0.525220057","0.574897609","0.674412511","0.648671009","0.630437925","0.641994207","0.630900269","0.617500101","0.686343385","0.682521556","0.577892262","0.571265381","0.623933891","0.576214697","0.688824949","0.611239176","0.594603558","0.605111187","0.719678133","0.560353854","0.670726632","0.608797194","0.723579074","0.718189217","0.643403698","0.611480335","0.695841723","0.634695185","0.568097526","0.605016141","0.719098026","0.589902987","0.615993419","0.642694363","0.679764639","0.595128595","0.720200541","0.619812671","0.590527281","0.675278635","0.633025769","0.54986252","0.646663877","0.661626099","0.601734925","0.620508143","0.58168494","0.661702814","0.651774648","0.534362403","0.60553249","0.683848311"
"daunorubicin","0.694504816","0.539274196","0.595689147","0.639708635","0.596773449","0.600464535","0.579044658","0.502446626","0.66888818","1","0.586299217","0.612026772","0.990402565","0.520625918","0.59023856","0.651322197","0.666827088","0.620109572","0.644724457","0.62228115","0.605099501","0.691213683","0.630158048","0.567668667","0.55646058","0.634582198","0.55679909","0.648702157","0.632786776","0.60762368","0.615755359","0.691608359","0.546799931","0.689016721","0.60742609","0.647581793","0.647307497","0.633354561","0.620928906","0.6470614","0.639906135","0.572607374","0.59314038","0.723671857","0.570509407","0.659317877","0.643854616","0.72135087","0.601597787","0.700670173","0.613387977","0.575765847","0.656020528","0.648198338","0.5529581","0.631311458","0.642601933","0.607317672","0.624844292","0.573494979","0.620288767","0.699652028","0.536580887","0.612002458","0.678855523"
"desipramine","0.58921968","0.557275481","0.600603017","0.605291054","0.582288795","0.594603558","0.541774181","0.5","0.600283873","0.586299217","1","0.544102823","0.585924986","0.523827672","0.579453966","0.601744678","0.595361665","0.578064478","0.577219435","0.582703279","0.605767531","0.588699005","0.574642518","0.565321259","0.556818675","0.61326783","0.560228269","0.577123118","0.614209892","0.544425678","0.576010361","0.595812924","0.553439229","0.594134682","0.619111291","0.578180346","0.579278396","0.603501211","0.613512819","0.586009134","0.603199472","0.64244071","0.632519247","0.600104238","0.632359023","0.579114502","0.604589836","0.590232628","0.565881324","0.588089863","0.605390604","0.570245544","0.603966729","0.604791515","0.552927139","0.634008575","0.61094267","0.595778258","0.574068394","0.58084141","0.552272097","0.582921713","0.554021719","0.57309666","0.581958943"
"digitoxin","0.594874057","0.526575624","0.554867263","0.596837982","0.557348791","0.571706736","0.708621145","0.501266468","0.640616011","0.612026772","0.544102823","1","0.613873063","0.540029869","0.543850288","0.572717472","0.58840758","0.605328203","0.602803396","0.607514916","0.562952201","0.60784797","0.669098194","0.548993149","0.542786709","0.576612397","0.546948379","0.608343553","0.559481434","0.755773841","0.559143434","0.660409918","0.559512353","0.592809115","0.559876261","0.672285393","0.663408609","0.570688613","0.555888038","0.638084661","0.570502537","0.542323233","0.565278407","0.607576843","0.555337233","0.693622317","0.619323434","0.612747406","0.551926705","0.614240268","0.563471206","0.577361643","0.576847355","0.56919889","0.53546718","0.577874664","0.56926608","0.562662095","0.568820952","0.546466563","0.760170848","0.607673726","0.523647061","0.572572675","0.649072293"
"doxorubicin","0.695694501","0.538742285","0.595217189","0.640540618","0.59861548","0.599203968","0.580991862","0.502412563","0.67123903","0.990402565","0.585924986","0.613873063","1","0.520341115","0.589808188","0.652043869","0.668332064","0.619384869","0.646211684","0.62315537","0.604473925","0.694820702","0.634115887","0.568228299","0.556410203","0.63454423","0.556745097","0.650885461","0.632761673","0.609605453","0.615874893","0.693948127","0.546169007","0.689430042","0.60602452","0.6491025","0.649603621","0.632420946","0.619270649","0.650854571","0.638981538","0.572380505","0.59267475","0.726426576","0.571051708","0.661055636","0.645469599","0.724868779","0.601048731","0.704850242","0.612750196","0.577035014","0.655789336","0.647250389","0.552224898","0.63284362","0.644171725","0.607509901","0.627876535","0.573986275","0.623728937","0.7022743","0.536759972","0.611400966","0.679330491"
