feature,plate,F_r,P_r,F_c,P_c,Channel,Channel_color,feature_type,P_r_log,P_c_log,marker,plate_rep,marker_sub,log_neg,plate_rep1,cell_struc
CELL_COUNT_A,1A1,1.522159002,0.193151804,1.626204335,0.140918785,CELL_COUNT_A,panelA,non-int,-1.644278852,-1.959571547,Cell_count_panelA,plate1_rep1,Cell_count,1.644278852,p1.r1,Cell count
CELL_COUNT_A,1A2,2.195627775,0.055174434,0.920760338,0.574650158,CELL_COUNT_A,panelA,non-int,-2.897255581,-0.553993844,Cell_count_panelA,plate1_rep2,Cell_count,2.897255581,p1.r2,Cell count
CELL_COUNT_A,1A3,3.483259304,0.006107441,1.993132952,0.06430997,CELL_COUNT_A,panelA,non-int,-5.098247456,-2.744040608,Cell_count_panelA,plate1_rep3,Cell_count,5.098247456,p1.r3,Cell count
CELL_COUNT_A,2A1,1.226645457,0.330792618,0.756773954,0.734475698,CELL_COUNT_A,panelA,non-int,-1.106263633,-0.30859837,Cell_count_panelA,plate2_rep1,Cell_count,1.106263633,p2.r1,Cell count
CELL_COUNT_A,2A2,2.058613787,0.071007448,1.113810268,0.406249129,CELL_COUNT_A,panelA,non-int,-2.644970506,-0.90078869,Cell_count_panelA,plate2_rep2,Cell_count,2.644970506,p2.r2,Cell count
CELL_COUNT_A,2A3,2.515054697,0.030998421,2.184351699,0.043011781,CELL_COUNT_A,panelA,non-int,-3.473819013,-3.146281235,Cell_count_panelA,plate2_rep3,Cell_count,3.473819013,p2.r3,Cell count
ObjectArea_NUC_A,1A1,6.246646146,0.000152623,4.071589704,0.001326941,NUC_A,panelA,non-int,-8.787540277,-6.62487886,Hoechst_panelA,plate1_rep1,Hoechst,8.787540277,p1.r1,DNA (Hoechst)
ObjectArea_NUC_A,1A2,3.117319856,0.011030423,1.680709383,0.125381758,NUC_A,panelA,non-int,-4.507098124,-2.076392134,Hoechst_panelA,plate1_rep2,Hoechst,4.507098124,p1.r2,DNA (Hoechst)
ObjectArea_NUC_A,1A3,4.606387022,0.001172525,1.108172508,0.410648794,NUC_A,panelA,non-int,-6.748596161,-0.890016946,Hoechst_panelA,plate1_rep3,Hoechst,6.748596161,p1.r3,DNA (Hoechst)
ObjectArea_NUC_A,2A1,3.356913338,0.00746694,1.009114408,0.493350979,NUC_A,panelA,non-int,-4.897270065,-0.706534433,Hoechst_panelA,plate2_rep1,Hoechst,4.897270065,p2.r1,DNA (Hoechst)
ObjectArea_NUC_A,2A2,4.127342403,0.002303246,2.022191827,0.060471076,NUC_A,panelA,non-int,-6.073436032,-2.805590104,Hoechst_panelA,plate2_rep2,Hoechst,6.073436032,p2.r2,DNA (Hoechst)
ObjectArea_NUC_A,2A3,4.965007698,0.000725642,1.530514316,0.172890479,NUC_A,panelA,non-int,-7.228453597,-1.755096955,Hoechst_panelA,plate2_rep3,Hoechst,7.228453597,p2.r3,DNA (Hoechst)
ObjectShapeP2A_NUC_A,1A1,0.389675017,0.957277337,1.092070883,0.42340254,NUC_A,panelA,non-int,-0.043662131,-0.859431921,Hoechst_panelA,plate1_rep1,Hoechst,0.043662131,p1.r1,DNA (Hoechst)
ObjectShapeP2A_NUC_A,1A2,2.091584437,0.066809559,1.909867435,0.076766524,NUC_A,panelA,non-int,-2.705909117,-2.56698662,Hoechst_panelA,plate1_rep2,Hoechst,2.705909117,p1.r2,DNA (Hoechst)
ObjectShapeP2A_NUC_A,1A3,0.578140083,0.843507373,0.537845119,0.916643038,NUC_A,panelA,non-int,-0.170186636,-0.087037154,Hoechst_panelA,plate1_rep3,Hoechst,0.170186636,p1.r3,DNA (Hoechst)
ObjectShapeP2A_NUC_A,2A1,0.590136088,0.834205414,1.908846961,0.076933718,NUC_A,panelA,non-int,-0.181275608,-2.564811035,Hoechst_panelA,plate2_rep1,Hoechst,0.181275608,p2.r1,DNA (Hoechst)
ObjectShapeP2A_NUC_A,2A2,2.053021882,0.071746089,1.786812732,0.099868632,NUC_A,panelA,non-int,-2.634621938,-2.303899637,Hoechst_panelA,plate2_rep2,Hoechst,2.634621938,p2.r2,DNA (Hoechst)
ObjectShapeP2A_NUC_A,2A3,0.470867313,0.916787245,0.713138094,0.775995464,NUC_A,panelA,non-int,-0.086879846,-0.253608604,Hoechst_panelA,plate2_rep3,Hoechst,0.086879846,p2.r3,DNA (Hoechst)
ObjectShapeLWR_NUC_A,1A1,0.213964398,0.996735413,0.727800062,0.762206457,NUC_A,panelA,non-int,-0.003269927,-0.27153782,Hoechst_panelA,plate1_rep1,Hoechst,0.003269927,p1.r1,DNA (Hoechst)
ObjectShapeLWR_NUC_A,1A2,2.683719398,0.023037492,1.860619237,0.085276187,NUC_A,panelA,non-int,-3.770632284,-2.461860028,Hoechst_panelA,plate1_rep2,Hoechst,3.770632284,p1.r2,DNA (Hoechst)
ObjectShapeLWR_NUC_A,1A3,0.316787024,0.981084759,0.612883136,0.863242339,NUC_A,panelA,non-int,-0.019096422,-0.147059817,Hoechst_panelA,plate1_rep3,Hoechst,0.019096422,p1.r3,DNA (Hoechst)
ObjectShapeLWR_NUC_A,2A1,0.717060084,0.727491563,1.556625241,0.163527151,NUC_A,panelA,non-int,-0.318152877,-1.810776244,Hoechst_panelA,plate2_rep1,Hoechst,0.318152877,p2.r1,DNA (Hoechst)
ObjectShapeLWR_NUC_A,2A2,2.136384826,0.061514224,1.65981021,0.13112778,NUC_A,panelA,non-int,-2.788486847,-2.031583015,Hoechst_panelA,plate2_rep2,Hoechst,2.788486847,p2.r2,DNA (Hoechst)
ObjectShapeLWR_NUC_A,2A3,1.027184941,0.46477959,0.718411988,0.77105742,NUC_A,panelA,non-int,-0.766191987,-0.259992433,Hoechst_panelA,plate2_rep3,Hoechst,0.766191987,p2.r3,DNA (Hoechst)
ObjectTotalInten_NUC_A,1A1,8.904810667,1.09E-05,1.794121649,0.098316943,NUC_A,panelA,int,-11.42924656,-2.319558903,Hoechst_panelA,plate1_rep1,Hoechst,11.42924656,p1.r1,DNA (Hoechst)
