plate_well,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,CELL_COUNT,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex
1A1_B02,B02,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,2,595,1417,1.23901618,1.58092326,11493895,8577.568088,2227.446333,42.4756452,11383561,8548.005118,5423874,9065.309932,607,37.8,18,11383561,8548.005118
1A1_B03,B03,Plate1_drugs,1,bleomycin,treated,1,20,1A1,2,3,684,1399,1.237260815,1.556275916,10904243,8379.421522,2057.476801,42.20500116,10874887,8386.093448,5018427,8843.360525,581,41.28571429,15,10874887,8386.093448
1A1_B04,B04,Plate1_drugs,1,bleomycin,treated,0.5,10,1A1,2,4,725,1498,1.235993219,1.55634974,11807730,8152.165082,1963.290648,43.67279288,11714801,8127.849934,5347709,8511.816568,637,36.6,18,11714801,8127.849934
1A1_B05,B05,Plate1_drugs,1,bleomycin,treated,0.25,5,1A1,2,5,595,1481,1.224703946,1.539398371,11291337,8382.808436,2043.950485,43.42427623,11251367,8375.122014,5233579,8763.531013,601,43.16666667,15,11251367,8375.122014
1A1_B06,B06,Plate1_drugs,1,bleomycin,treated,0.125,2.5,1A1,2,6,790,1458,1.230832152,1.5421426,11112102,8167.245423,1957.17031,43.08576628,11076822,8166.468102,5190853,8504.349319,617.5,43.35416667,16,11076822,8166.468102
1A1_B07,B07,Plate1_drugs,1,bleomycin,treated,0.0625,1.25,1A1,2,7,611,1509,1.224329965,1.544723013,11313145,7904.054348,2013.751321,43.83284696,11309386,7906.185484,5608322,8371.625,680,32.38461538,22,11309386,7906.185484
1A1_B08,B08,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,8,632,1438,1.240447495,1.584219685,11083603.5,8074.489182,2038.631004,42.78923047,11052498.5,8057.559217,5492203,8456.382472,652,35.86277174,19,11052498.5,8057.559217
1A1_B09,B09,Plate1_drugs,1,bleomycin,treated,0.03125,0.625,1A1,2,9,638,1543.5,1.219513619,1.51763193,11923544,7902.054165,1987.892775,44.331086,11902547,7877.363006,5555709.5,8381.434119,681,32.625,21,11902547,7877.363006
1A1_B10,B10,Plate1_drugs,1,bleomycin,treated,0.015625,0.3125,1A1,2,10,554,1538.5,1.223094417,1.514217187,11484581.5,7954.814791,1998.863741,44.25922022,11410741,7947.43407,5461348.5,8359.049571,663,34.87299465,21,11410741,7947.43407
1A1_B11,B11,Plate1_drugs,1,alvocidib,treated,1,20,1A1,2,11,120,2015,1.206642493,1.458586635,16465712.5,7851.60797,2043.184811,50.65150694,16299910.5,7756.585201,5524824.5,8313.026958,649,28.06818182,24,16299910.5,7756.585201
1A1_B12,B12,Plate1_drugs,1,alvocidib,treated,0.5,10,1A1,2,12,111,2065,1.216293689,1.468402333,14006825,7102.189879,1703.630059,51.27611198,14081620,7102.301489,4849019,7600.610411,664,30.06896552,23,14081620,7102.301489
1A1_B13,B13,Plate1_drugs,1,alvocidib,treated,0.25,5,1A1,2,13,121,1735,1.247979277,1.508000034,14815215,9003.134421,2214.950498,47.00075117,14564796,8883.024087,5038680,9400.522388,528,32.52777778,20,14564796,8883.024087
1A1_B14,B14,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,14,700,1398.5,1.244147397,1.575191008,11351298,8593.895453,2116.8224,42.19742546,11342036.5,8603.007563,5271535,9060.189548,588.5,39.05,16,11342036.5,8603.007563
1A1_B15,B15,Plate1_drugs,1,alvocidib,treated,0.125,2.5,1A1,2,15,213,1738,1.227578365,1.496094951,14107505,7965.085209,2009.391741,47.04136827,14031075,7920.045338,5246822,8638.278586,589,30.35714286,23,14031075,7920.045338
1A1_B16,B16,Plate1_drugs,1,alvocidib,treated,0.0625,1.25,1A1,2,16,357,1698,1.22498641,1.542074519,14659397,8179.433796,2239.453568,46.49688965,14631993,8147.720063,6181030,8783.839161,703,25.19512195,32,14631993,8147.720063
1A1_B17,B17,Plate1_drugs,1,alvocidib,treated,0.03125,0.625,1A1,2,17,452,1640.5,1.213866757,1.493980395,13494327,8261.429178,2087.645268,45.70283826,13514516.5,8259.729998,5722935.5,8677.353938,650,34.79861111,20.5,13514516.5,8259.729998
