"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"1","CELL_COUNT","1A1",1.52215900234373,0.193151803616654,1.6262043354109,0.140918785024603,"CELL_COUNT_A","panelA","non-int",-1.64427885200687,-1.95957154728482
"2","CELL_COUNT","1A2",2.19562777546519,0.055174434245263,0.920760338416452,0.574650158196276,"CELL_COUNT_A","panelA","non-int",-2.89725558071587,-0.55399384387588
"3","CELL_COUNT","1A3",3.48325930396784,0.0061074407532326,1.99313295178934,0.0643099698437731,"CELL_COUNT_A","panelA","non-int",-5.09824745553721,-2.74404060775519
"4","CELL_COUNT","2A1",1.22664545672498,0.330792617575548,0.756773954040866,0.734475698413312,"CELL_COUNT_A","panelA","non-int",-1.10626363296328,-0.308598369806213
"5","CELL_COUNT","2A2",2.05861378693615,0.0710074480261695,1.11381026779654,0.406249128930556,"CELL_COUNT_A","panelA","non-int",-2.64497050566559,-0.900788689511428
"6","CELL_COUNT","2A3",2.51505469670434,0.03099842093591,2.18435169857189,0.0430117805377715,"CELL_COUNT_A","panelA","non-int",-3.47381901334564,-3.14628123481572
"7","ObjectArea_NUC_A","1A1",6.24664614644792,0.000152622916504736,4.07158970398415,0.00132694116723617,"NUC_A","panelA","non-int",-8.7875402767012,-6.6248788597798
"8","ObjectArea_NUC_A","1A2",3.11731985649484,0.0110304227015453,1.68070938341545,0.125381757728572,"NUC_A","panelA","non-int",-4.50709812355481,-2.07639213402441
"9","ObjectArea_NUC_A","1A3",4.60638702227899,0.00117252450151523,1.10817250841548,0.410648793806929,"NUC_A","panelA","non-int",-6.74859616104748,-0.890016946077908
"10","ObjectArea_NUC_A","2A1",3.35691333810551,0.00746693953324022,1.00911440815533,0.493350979073064,"NUC_A","panelA","non-int",-4.8972700648266,-0.706534433140414
"11","ObjectArea_NUC_A","2A2",4.12734240327121,0.00230324557250863,2.02219182738712,0.0604710764261388,"NUC_A","panelA","non-int",-6.07343603225706,-2.80559010386093
"12","ObjectArea_NUC_A","2A3",4.96500769843809,0.000725642131026553,1.53051431591605,0.172890478874974,"NUC_A","panelA","non-int",-7.22845359714094,-1.75509695504469
"13","ObjectShapeP2A_NUC_A","1A1",0.389675016913046,0.957277336819806,1.09207088321865,0.423402540063983,"NUC_A","panelA","non-int",-0.0436621313727348,-0.859431921092983
"14","ObjectShapeP2A_NUC_A","1A2",2.09158443735357,0.0668095585544616,1.9098674354671,0.076766523909214,"NUC_A","panelA","non-int",-2.70590911654358,-2.56698662045346
"15","ObjectShapeP2A_NUC_A","1A3",0.578140082539923,0.843507372871929,0.53784511883819,0.916643037769012,"NUC_A","panelA","non-int",-0.170186636225863,-0.0870371543011211
"16","ObjectShapeP2A_NUC_A","2A1",0.59013608847801,0.834205413508706,1.90884696125552,0.0769337178283475,"NUC_A","panelA","non-int",-0.181275607778941,-2.56481103525998
"17","ObjectShapeP2A_NUC_A","2A2",2.05302188207393,0.071746088780825,1.78681273204326,0.0998686319651691,"NUC_A","panelA","non-int",-2.63462193759373,-2.30389963697683
"18","ObjectShapeP2A_NUC_A","2A3",0.470867313160526,0.916787244952068,0.713138093527141,0.775995464206533,"NUC_A","panelA","non-int",-0.0868798456925396,-0.253608603910675
"19","ObjectShapeLWR_NUC_A","1A1",0.213964397737201,0.996735413055295,0.727800062445436,0.762206456553491,"NUC_A","panelA","non-int",-0.00326992733461035,-0.271537819634289
"20","ObjectShapeLWR_NUC_A","1A2",2.68371939840961,0.0230374924343947,1.86061923660093,0.0852761872685968,"NUC_A","panelA","non-int",-3.77063228439017,-2.46186002795293
"21","ObjectShapeLWR_NUC_A","1A3",0.316787023934972,0.981084759214747,0.612883135809882,0.863242339208928,"NUC_A","panelA","non-int",-0.0190964223185839,-0.147059817111183
"22","ObjectShapeLWR_NUC_A","2A1",0.71706008381121,0.727491562880695,1.55662524133877,0.163527150550477,"NUC_A","panelA","non-int",-0.318152877418592,-1.8107762440183
"23","ObjectShapeLWR_NUC_A","2A2",2.13638482556821,0.0615142239475941,1.65981020977382,0.131127779531497,"NUC_A","panelA","non-int",-2.7884868472109,-2.03158301491934
"24","ObjectShapeLWR_NUC_A","2A3",1.02718494107799,0.464779589517935,0.718411988334677,0.771057420242607,"NUC_A","panelA","non-int",-0.766191986805483,-0.259992433169098
"25","ObjectTotalInten_NUC_A","1A1",8.90481066710052,1.08727972077031e-05,1.79412164863759,0.0983169433166685,"NUC_A","panelA","int",-11.4292465571202,-2.31955890333835
"26","ObjectTotalInten_NUC_A","1A2",1.5007217843536,0.200989241432004,1.31155310282086,0.2738633475659,"NUC_A","panelA","int",-1.6045038975695,-1.29512602851331
"27","ObjectTotalInten_NUC_A","1A3",1.76427209774838,0.122893264488631,1.11841017626398,0.402684873522863,"NUC_A","panelA","int",-2.09643906872377,-0.909600974475211
"28","ObjectTotalInten_NUC_A","2A1",1.24490923382126,0.320262234771017,0.722482622059713,0.767228906335573,"NUC_A","panelA","int",-1.13861513512234,-0.264970078417309
"29","ObjectTotalInten_NUC_A","2A2",1.5374967192686,0.187724705031584,1.14568041834823,0.382027938953117,"NUC_A","panelA","int",-1.67277872427677,-0.962261534429336
"30","ObjectTotalInten_NUC_A","2A3",1.22582184702983,0.331274283206828,0.67434039579848,0.811421465151278,"NUC_A","panelA","int",-1.10480859657439,-0.208967674096703
"31","ObjectAvgInten_NUC_A","1A1",5.19414965974147,0.000539768631995209,0.836821890922029,0.656131677507234,"NUC_A","panelA","int",-7.52436996948899,-0.42139378227383
"32","ObjectAvgInten_NUC_A","1A2",1.77500473547461,0.120449371631686,1.94721187721603,0.0708980149581055,"NUC_A","panelA","int",-2.11652576677434,-2.64651284360602
"33","ObjectAvgInten_NUC_A","1A3",8.2984990254415,1.87667221079917e-05,1.89483180391324,0.0792681179570657,"NUC_A","panelA","int",-10.8834253572464,-2.53491927459903
"34","ObjectAvgInten_NUC_A","2A1",1.3766703858423,0.252553911568139,0.721126961956901,0.768505540690636,"NUC_A","panelA","int",-1.37613054189604,-0.26330750628239
"35","ObjectAvgInten_NUC_A","2A2",1.63523046662985,0.156451784270835,0.986986566517638,0.513124484855252,"NUC_A","panelA","int",-1.85500740419699,-0.66723680271212
"36","ObjectAvgInten_NUC_A","2A3",1.82986778855256,0.108700387290095,0.902411543090533,0.592212126942557,"NUC_A","panelA","int",-2.21915992193497,-0.523890385742217
"37","ObjectVarInten_NUC_A","1A1",4.54641340782984,0.00127314145551081,0.738524768187289,0.752008782764517,"NUC_A","panelA","int",-6.66626784577596,-0.285007275892364
"38","ObjectVarInten_NUC_A","1A2",1.26521772564628,0.308889107781253,1.39544745513692,0.230049764646185,"NUC_A","panelA","int",-1.17477294098958,-1.46945962543624
"39","ObjectVarInten_NUC_A","1A3",3.81904770225543,0.00363650531570979,1.55624323934794,0.163660534381386,"NUC_A","panelA","int",-5.61673213660537,-1.80996090869584
"40","ObjectVarInten_NUC_A","2A1",1.81155863286208,0.112486823350249,0.861730216286901,0.63170542191988,"NUC_A","panelA","int",-2.18491918997299,-0.459332098052927
"41","ObjectVarInten_NUC_A","2A2",1.71691452603854,0.134284042210261,1.35154652165159,0.252119143271091,"NUC_A","panelA","int",-2.00779800447664,-1.37785351244275
"42","ObjectVarInten_NUC_A","2A3",1.46276764192017,0.215611748419499,0.784499876084547,0.707510867213835,"NUC_A","panelA","int",-1.53427594969027,-0.346002289563153
"43","ObjectSize_NUC_A","1A1",6.09458276185752,0.00018153318240019,4.03401888030585,0.00140962173863973,"NUC_A","panelA","non-int",-8.61407209782794,-6.56443388105129
"44","ObjectSize_NUC_A","1A2",3.09794674565359,0.0113899103434908,1.66754089263168,0.12897246195532,"NUC_A","panelA","non-int",-4.47502737306493,-2.04815637062369
"45","ObjectSize_NUC_A","1A3",4.57002368270741,0.00123244947792308,1.11493290672582,0.405377132999883,"NUC_A","panelA","non-int",-6.69875164443075,-0.902937452574152
"46","ObjectSize_NUC_A","2A1",3.34548248534481,0.00760518175025765,1.00766528049815,0.494632512235236,"NUC_A","panelA","non-int",-4.87892545477175,-0.703940191653218
"47","ObjectSize_NUC_A","2A2",4.13643575854582,0.00227304373478852,2.05261499243096,0.0567057508714939,"NUC_A","panelA","non-int",-6.08663549329881,-2.86987964708672
"48","ObjectSize_NUC_A","2A3",4.90826335318969,0.000781799991805676,1.52909029121182,0.173415724298546,"NUC_A","panelA","non-int",-7.15391161508678,-1.75206353651787
"49","RingTotalInten_RNA","1A1",18.0748641056734,2.9180892634792e-08,2.58986751308901,0.0188272592815821,"RNA","panelA","int",-17.3497517036825,-3.97244949753952
"50","RingTotalInten_RNA","1A2",11.8341845134875,1.10059985527601e-06,13.1686956532677,1.40543739634065e-07,"RNA","panelA","int",-13.7196552038163,-15.7777470824993
"51","RingTotalInten_RNA","1A3",56.835623973366,7.02993006571541e-13,7.32733147692651,1.87555458525422e-05,"RNA","panelA","int",-27.9834294511274,-10.8840210704795
"52","RingTotalInten_RNA","2A1",36.3666374022728,4.90162298146155e-11,5.40593155147555,0.00018766856695524,"RNA","panelA","int",-23.7388696519529,-8.58083309267234
"53","RingTotalInten_RNA","2A2",31.8363912499766,1.70093970031048e-10,4.17834705665947,0.0011194945119791,"RNA","panelA","int",-22.494670066708,-6.79487802414463
"54","RingTotalInten_RNA","2A3",37.5038925355371,3.66958071145094e-11,5.79909368114558,0.000112206377952493,"RNA","panelA","int",-24.0283586149558,-9.09517072199489
"55","RingAvgInten_RNA","1A1",10.5831096532483,2.75041768915001e-06,1.89616260101779,0.0790433698494571,"RNA","panelA","int",-12.8037577708558,-2.53775859171633
"56","RingAvgInten_RNA","1A2",11.9715162177308,1.00017693252501e-06,12.6535268526949,1.99090808690995e-07,"RNA","panelA","int",-13.81533364109,-15.4295047912262
"57","RingAvgInten_RNA","1A3",61.7766617729485,3.1524235429975e-13,10.582521497631,9.24347762749881e-07,"RNA","panelA","int",-28.7854346731758,-13.8941774695005
"58","RingAvgInten_RNA","2A1",28.7434032393732,4.38915472971991e-10,5.48433968142226,0.000169031838085766,"RNA","panelA","int",-21.5467142658754,-8.68542346974453
"59","RingAvgInten_RNA","2A2",18.8247824574273,2.03641046293621e-08,2.7896880968337,0.0127272293537939,"RNA","panelA","int",-17.7094920629622,-4.3640115370932
"60","RingAvgInten_RNA","2A3",13.7145663195572,3.1932505681081e-07,4.55866971121546,0.000623483468657746,"RNA","panelA","int",-14.9570562661085,-7.38018830697636
"61","CircTotalInten_RNA","1A1",25.8966948558399,1.14584416696978e-09,2.951890737702,0.00933556851299836,"RNA","panelA","int",-20.5871242078565,-4.67392360261111
"62","CircTotalInten_RNA","1A2",13.137096273116,4.59601938118387e-07,12.9949560987254,1.5784671987214e-07,"RNA","panelA","int",-14.5929050740129,-15.6616414021891
"63","CircTotalInten_RNA","1A3",80.7671108235954,2.35414963902724e-14,8.88663166913775,3.96971774384362e-06,"RNA","panelA","int",-31.3800117271179,-12.4368155630613
"64","CircTotalInten_RNA","2A1",46.414600933252,4.87781767618358e-12,5.71321085318392,0.000125282733562474,"RNA","panelA","int",-26.0463231935895,-8.98493750633599
"65","CircTotalInten_RNA","2A2",38.6661457677102,2.75282500938039e-11,5.1352722832264,0.000271464445456286,"RNA","panelA","int",-24.3158083624047,-8.21167938312788
"66","CircTotalInten_RNA","2A3",40.1672364908729,1.92165369321995e-11,5.79716943606275,0.00011248243368771,"RNA","panelA","int",-24.6752499090475,-9.09271349350984
"67","CircAvgInten_RNA","1A1",20.2730514829376,1.0522312469253e-08,2.10760231549093,0.0505061809120253,"RNA","panelA","int",-18.369767837324,-2.98565955589286
"68","CircAvgInten_RNA","1A2",11.9854050002209,9.90595306853681e-07,12.2122790783577,2.70939628274573e-07,"RNA","panelA","int",-13.824959754484,-15.1213698147791
"69","CircAvgInten_RNA","1A3",67.1742653670276,1.40468311781226e-13,7.42007492591197,1.69838187900756e-05,"RNA","panelA","int",-29.5937944704983,-10.9832495030694
"70","CircAvgInten_RNA","2A1",82.9013551020581,1.82682260112248e-14,8.552830059944,5.42957942029324e-06,"RNA","panelA","int",-31.6336131276903,-12.1236488818445
"71","CircAvgInten_RNA","2A2",36.9117178562151,4.26213825888936e-11,4.81148528105393,0.000429598787783303,"RNA","panelA","int",-23.8786650498759,-7.75265883650707
"72","CircAvgInten_RNA","2A3",22.9975572035997,3.38052989239761e-09,3.83823707784027,0.00194183063243602,"RNA","panelA","int",-19.5052333668404,-6.24412412587404
"73","RingSpotTotalInten_RNA","1A1",0.665124353413599,0.772571617200924,0.644782128022291,0.837105667630587,"RNA","panelA","int",-0.258030566156679,-0.177804970785246
"74","RingSpotTotalInten_RNA","1A2",1.42329525164378,0.231877173873405,2.256938863179,0.0369921539030195,"RNA","panelA","int",-1.46154747046911,-3.29704944550026
"75","RingSpotTotalInten_RNA","1A3",1.44871484988771,0.221276030679534,1.82858455486549,0.0913232232334697,"RNA","panelA","int",-1.50834434922579,-2.39335016191332
"76","RingSpotTotalInten_RNA","2A1",1.61381106796551,0.162838462861687,0.949009747496771,0.548014116815013,"RNA","panelA","int",-1.81499659495414,-0.601454231754582
