"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"1","CELL_COUNT","1B1",2.26963651170742,0.0482003742955715,0.978060525573529,0.521220931910424,"CELL_COUNT_B","panelB","non-int",-3.03238849248745,-0.651581273543204
"2","CELL_COUNT","1B2",4.32022843286309,0.00174642703178291,2.83567556298798,0.0116482067452615,"CELL_COUNT_B","panelB","non-int",-6.3501832742736,-4.45260303826383
"3","CELL_COUNT","1B3",1.38949636929028,0.246703236467824,1.32345186213113,0.267226297587092,"CELL_COUNT_B","panelB","non-int",-1.39956913649022,-1.31965942304912
"4","CELL_COUNT","2B1",0.958377394406443,0.518755304478058,0.959078779174959,0.538654057077665,"CELL_COUNT_B","panelB","non-int",-0.656322981989637,-0.618681737733672
"5","CELL_COUNT","2B2",0.509811722666142,0.892491985181487,0.957628112143055,0.539997929824522,"CELL_COUNT_B","panelB","non-int",-0.113737745557475,-0.616189973089457
"6","CELL_COUNT","2B3",1.44934715957601,0.221018193488839,1.75760759844343,0.106319936298335,"CELL_COUNT_B","panelB","non-int",-1.50951025737386,-2.24130246372767
"7","ObjectArea_NUC_B","1B1",0.772876442263886,0.678117942966527,0.333511128630302,0.992058403776053,"NUC_B","panelB","non-int",-0.388434048992769,-0.0079732986560683
"8","ObjectArea_NUC_B","1B2",1.37891927943602,0.25151898098532,1.32095606881851,0.268606532164954,"NUC_B","panelB","non-int",-1.38023682117555,-1.31450767588508
"9","ObjectArea_NUC_B","1B3",2.32143962028741,0.0438733113770398,1.3124901026908,0.273335471086869,"NUC_B","panelB","non-int",-3.12644908506975,-1.29705540637301
"10","ObjectArea_NUC_B","2B1",1.94304742519617,0.0880011804441317,0.996971317053371,0.504148417839014,"NUC_B","panelB","non-int",-2.43040505045604,-0.684884574422133
"11","ObjectArea_NUC_B","2B2",3.28380428552656,0.0084003936933257,1.89613635597806,0.0790477958543471,"NUC_B","panelB","non-int",-4.77947670597809,-2.53770259864585
"12","ObjectArea_NUC_B","2B3",0.835014540732772,0.623246710299319,0.643377120223257,0.838293524242154,"NUC_B","panelB","non-int",-0.472812834892731,-0.176386972237357
"13","ObjectShapeP2A_NUC_B","1B1",0.488120988299982,0.906384436336881,0.494800218051056,0.941258691737166,"NUC_B","panelB","non-int",-0.0982917402709238,-0.0605372656613556
"14","ObjectShapeP2A_NUC_B","1B2",3.20677170671037,0.00952187263412844,4.02061362250135,0.0014404662736574,"NUC_B","panelB","non-int",-4.65416374425721,-6.54278841665553
"15","ObjectShapeP2A_NUC_B","1B3",0.717069780372066,0.727483038756955,1.40134440089347,0.227223686369848,"NUC_B","panelB","non-int",-0.318164594631704,-1.48182034418073
"16","ObjectShapeP2A_NUC_B","2B1",1.36904125337451,0.256093785138103,0.975882066082843,0.523206994692134,"NUC_B","panelB","non-int",-1.36221155339597,-0.647778109868623
"17","ObjectShapeP2A_NUC_B","2B2",1.98498754449557,0.0813958065874581,1.72932244244168,0.112968090362104,"NUC_B","panelB","non-int",-2.50843152342524,-2.18064988632435
"18","ObjectShapeP2A_NUC_B","2B3",1.40100926001299,0.241557624499592,1.06454120031474,0.445843995855858,"NUC_B","panelB","non-int",-1.42064722358818,-0.807786173227695
"19","ObjectShapeLWR_NUC_B","1B1",0.801776285285322,0.652514201588985,1.30476090597302,0.277716723952422,"NUC_B","panelB","non-int",-0.426922375134807,-1.28115366339154
"20","ObjectShapeLWR_NUC_B","1B2",4.36974061206541,0.00162842555767173,4.29760943601739,0.000928650874832324,"NUC_B","panelB","non-int",-6.42014164649931,-6.98177769728396
"21","ObjectShapeLWR_NUC_B","1B3",0.697954375663527,0.744222610586886,0.892822173765419,0.601459925129557,"NUC_B","panelB","non-int",-0.295415081124693,-0.508395370675457
"22","ObjectShapeLWR_NUC_B","2B1",0.946638772939099,0.528313153275096,0.90662520036433,0.588162972930878,"NUC_B","panelB","non-int",-0.638066077762165,-0.530751204638159
"23","ObjectShapeLWR_NUC_B","2B2",1.31850915099117,0.280694614704667,1.47096948909975,0.196204635071678,"NUC_B","panelB","non-int",-1.27048798103287,-1.62859710791138
"24","ObjectShapeLWR_NUC_B","2B3",0.680054689070593,0.759753236227908,0.917892647753224,0.577382399264753,"NUC_B","panelB","non-int",-0.274761587598508,-0.549250494959938
"25","ObjectTotalInten_NUC_B","1B1",0.801632518507755,0.652641322908015,0.567800967154645,0.896823359853521,"NUC_B","panelB","int",-0.426727576404623,-0.10889635955549
"26","ObjectTotalInten_NUC_B","1B2",1.57248815956444,0.175887273098354,1.31128274894815,0.27401582318302,"NUC_B","panelB","int",-1.73791198290709,-1.29456942541833
"27","ObjectTotalInten_NUC_B","1B3",1.02894113152394,0.463450568814964,0.861277730778862,0.632147961671935,"NUC_B","panelB","int",-0.769055547311897,-0.458631795666769
"28","ObjectTotalInten_NUC_B","2B1",0.759678144015983,0.689824084549709,0.663470521090825,0.821014239850072,"NUC_B","panelB","int",-0.371318663824048,-0.197214825161157
"29","ObjectTotalInten_NUC_B","2B2",1.29649187774207,0.292057185561714,0.85461729797262,0.638668007288993,"NUC_B","panelB","int",-1.23080565492342,-0.448370510026144
"30","ObjectTotalInten_NUC_B","2B3",0.983507474844023,0.49862421140485,0.500852319625226,0.938083797198346,"NUC_B","panelB","int",-0.69590255029735,-0.063915997933786
"31","ObjectAvgInten_NUC_B","1B1",0.947773726531066,0.52738490666307,0.231035282558743,0.999229229624805,"NUC_B","panelB","int",-0.639824623858755,-0.000771067571403937
"32","ObjectAvgInten_NUC_B","1B2",1.71873742385507,0.133826665734267,1.90478617894465,0.0776027445949678,"NUC_B","panelB","int",-2.01120985567186,-2.55615248392656
"33","ObjectAvgInten_NUC_B","1B3",1.0837529516042,0.42326581964438,1.24134888923435,0.316017729793177,"NUC_B","panelB","int",-0.859754882071089,-1.15195696002873
"34","ObjectAvgInten_NUC_B","2B1",1.14259236429381,0.383011679291465,0.402666293347382,0.97785450436366,"NUC_B","panelB","int",-0.959689796032841,-0.0223943885587719
