"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"1","CELL_COUNT","1_C2_1",0.893428432278932,0.572751465680229,0.474768979069486,0.951085673032826,"CELL_COUNT_C2","panelC2","non-int",-0.557303398629146,-0.0501511331832962
"2","CELL_COUNT","1_C2_2",3.1659368154544,0.0101809697636862,1.64140797407601,0.136402896017571,"CELL_COUNT_C2","panelC2","non-int",-4.5872350107381,-1.99214230199779
"3","CELL_COUNT","1_C2_3",2.26555887444842,0.0485594842647327,1.22548315220991,0.326272048913423,"CELL_COUNT_C2","panelC2","non-int",-3.02496575286529,-1.12002373975246
"4","CELL_COUNT","2_C2_1",1.02012537140212,0.47014732664052,0.603923474992427,0.870248325533345,"CELL_COUNT_C2","panelC2","non-int",-0.754709172459371,-0.138976676413847
"5","CELL_COUNT","2_C2_2",1.6645964419903,0.148094143168902,1.56955492846174,0.159074137562536,"CELL_COUNT_C2","panelC2","non-int",-1.90990710495288,-1.83838491145563
"6","CELL_COUNT","2_C2_3",3.17162538082518,0.010086277490968,0.926431728989608,0.569261193739624,"CELL_COUNT_C2","panelC2","non-int",-4.59657944321667,-0.563415910218229
"7","ObjectArea_NUC_C2","1_C2_1",1.31560762793629,0.282169300007469,0.965910116609018,0.532347274296759,"NUC_C2","panelC2","non-int",-1.26524803354836,-0.630459231368454
"8","ObjectArea_NUC_C2","1_C2_2",0.397457984445359,0.954029659540174,0.380331173957905,0.983552439028874,"NUC_C2","panelC2","non-int",-0.0470605183523712,-0.0165843237855289
"9","ObjectArea_NUC_C2","1_C2_3",2.16686514753948,0.0581626724024635,1.73000316165956,0.11280329134748,"NUC_C2","panelC2","non-int",-2.84451149766423,-2.18210976173145
"10","ObjectArea_NUC_C2","2_C2_1",0.606931300336026,0.820888105939871,1.25390007228113,0.308098179261321,"NUC_C2","panelC2","non-int",-0.197368468781646,-1.1773367829675
"11","ObjectArea_NUC_C2","2_C2_2",2.26136355046923,0.0489318891876076,1.28196385946327,0.290998493023329,"NUC_C2","panelC2","non-int",-3.01732596442017,-1.23443719043804
"12","ObjectArea_NUC_C2","2_C2_3",0.473607874143619,0.915174574877385,1.5279508419267,0.173837110172095,"NUC_C2","panelC2","non-int",-0.0886404396894142,-1.74963656666445
"13","ObjectShapeP2A_NUC_C2","1_C2_1",0.473771922798001,0.915077559499826,0.846287637678477,0.64683584928403,"NUC_C2","panelC2","non-int",-0.0887464528182372,-0.435662727205928
"14","ObjectShapeP2A_NUC_C2","1_C2_2",1.9165769864722,0.0924507633223907,1.53117620768905,0.172646864219996,"NUC_C2","panelC2","non-int",-2.38107906458611,-1.75650701795229
"15","ObjectShapeP2A_NUC_C2","1_C2_3",1.97256068957468,0.0832980996486267,1.50237171252902,0.183559292082888,"NUC_C2","panelC2","non-int",-2.48532954341139,-1.69521754606085
"16","ObjectShapeP2A_NUC_C2","2_C2_1",1.01531904707068,0.473824848707249,0.296876377341703,0.996030665197754,"NUC_C2","panelC2","non-int",-0.746917543070728,-0.00397723352033155
"17","ObjectShapeP2A_NUC_C2","2_C2_2",4.76498571962859,0.000945873407014119,0.870794565426824,0.622852728176121,"NUC_C2","panelC2","non-int",-6.96340181709096,-0.47344517951012
