,plate_well,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,CELL_COUNT,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,RingTotalInten_RNA,RingAvgInten_RNA,CircTotalInten_RNA,CircAvgInten_RNA,RingSpotTotalInten_RNA,RingSpotAvgInten_RNA,RingSpotTotalArea_RNA,RingSpotAvgArea_RNA,RingSpotCount_RNA,CircSpotTotalInten_RNA,CircSpotAvgInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,CircSpotCount_RNA,TotalInten_RNA,AvgInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,CircTotalInten_PMG,CircAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotTotalArea_PMG,RingSpotAvgArea_PMG,RingSpotCount_PMG,CircSpotTotalInten_PMG,CircSpotAvgInten_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,CircSpotCount_PMG,TotalInten_PMG,AvgInten_PMG,RingTotalInten_MITO,RingAvgInten_MITO,CircTotalInten_MITO,CircAvgInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgInten_MITO,RingSpotTotalArea_MITO,RingSpotAvgArea_MITO,RingSpotCount_MITO,CircSpotTotalInten_MITO,CircSpotAvgInten_MITO,CircSpotTotalArea_MITO,CircSpotAvgArea_MITO,CircSpotCount_MITO,TotalInten_MITO,AvgInten_MITO,RingTotalInten_NUC_Tex,RingAvgInten_NUC_Tex,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,RingSpotTotalInten_NUC_Tex,RingSpotAvgInten_NUC_Tex,RingSpotTotalArea_NUC_Tex,RingSpotAvgArea_NUC_Tex,RingSpotCount_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex
1,1A1_B02,B02,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,2,595,1417,1.23901618,1.58092326,11493895,8577.568088,2227.446333,42.4756452,12941434,1898.149496,7252002,4983.054134,0,0,0,0,0,660538,7365.143617,88,10.2,7,7252002,4983.054134,21632852,3083.606452,8366874,5590.186992,2371357,5141.214651,445,8.661538462,49,4024902,6126.790829,648,16.92857143,33,8366874,5590.186992,19627226,2836.931704,7344150,5000.335189,2683601,5321.393072,508,5.420634921,87,1087148,5658,193,3.191489362,49,7344150,5000.335189,7589581,1069.036263,11383561,8548.005118,4353,1859.35,2,1,1,5423874,9065.309932,607,37.8,18,11383561,8548.005118
2,1A1_B03,B03,Plate1_drugs,1,bleomycin,treated,1,20,1A1,2,3,684,1399,1.237260815,1.556275916,10904243,8379.421522,2057.476801,42.20500116,13314900,1906.554773,7210740,5063.43975,3073,2548,1,1,1,617006,7580.734967,83,9.683333333,7,7210740,5063.43975,21748314.5,3088.538974,8097993.5,5789.934253,2309480.5,5336.002465,421,11.30880952,33,3369803,6458.972282,504,16.91333333,26,8097993.5,5789.934253,22099965,3124.657082,7941017.5,5532.782133,4198835,5804.247032,708,8.703203203,77,1359856.5,6380.725966,208.5,5.033686731,35,7941017.5,5532.782133,7304544,1021.945884,10874887,8386.093448,5069.5,2008.430556,2,1,1,5018427,8843.360525,581,41.28571429,15,10874887,8386.093448
3,1A1_B04,B04,Plate1_drugs,1,bleomycin,treated,0.5,10,1A1,2,4,725,1498,1.235993219,1.55634974,11807730,8152.165082,1963.290648,43.67279288,14374559,2120.231803,7959063,5145.99023,0,0,0,0,0,696404,7856.410596,90,10.625,8,7959063,5145.99023,23263487,3332.020003,8994577,5946.68015,1793643,5692.487472,302,9.925925926,31,3394545,6629.011291,509,14.04,31,8994577,5946.68015,23141201,3334.018061,8102687,5391.865066,3135336,6059.502812,497,6.898305085,75,890338,6204.052632,146,3.724137931,34,8102687,5391.865066,7721763,1100.125698,11714801,8127.849934,8367,2090.375,3,1,2,5347709,8511.816568,637,36.6,18,11714801,8127.849934
4,1A1_B05,B05,Plate1_drugs,1,bleomycin,treated,0.25,5,1A1,2,5,595,1481,1.224703946,1.539398371,11291337,8382.808436,2043.950485,43.42427623,14699450,1991.694437,8103976,5476.651258,4264,3086.038462,1,1,1,774586,8464.960526,94,11,8,8103976,5476.651258,24476776,3329.032094,9611828,6442.408178,3239998,5411.76626,610,10.85416667,55,5619811,6944.020772,801,26.37931034,29,9611828,6442.408178,21247558,2864.543882,7229661,4925.690628,3284184,5258.762346,629,7.583333333,87,1010159,5725.295082,179,4.347826087,37,7229661,4925.690628,7773220,1036.566197,11251367,8375.122014,8255,2062.263158,2,1,1,5233579,8763.531013,601,43.16666667,15,11251367,8375.122014
5,1A1_B06,B06,Plate1_drugs,1,bleomycin,treated,0.125,2.5,1A1,2,6,790,1458,1.230832152,1.5421426,11112102,8167.245423,1957.17031,43.08576628,14784449.5,2216.373094,7778302,5364.273635,0,0,0,0,0,707036.5,8381.275125,86,10.18333333,8,7778302,5364.273635,23678628,3419.844897,9073237.5,6134.104133,1709256,5813.081244,279.5,9.708484848,28.5,3299796,6914.504587,472.5,15.34117032,28,9073237.5,6134.104133,20167938,2933.450123,7049456.5,4725.005351,2415097,5414.946004,441,6.326635846,67,699592.5,5611.254211,127,3.683333333,29,7049456.5,4725.005351,7407930,1071.300869,11076822,8166.468102,7154.5,2146.825269,2,1,1,5190853,8504.349319,617.5,43.35416667,16,11076822,8166.468102
6,1A1_B07,B07,Plate1_drugs,1,bleomycin,treated,0.0625,1.25,1A1,2,7,611,1509,1.224329965,1.544723013,11313145,7904.054348,2013.751321,43.83284696,14024821,1942.197548,7814165,5060.325487,8347,3261,2,1,1,720917,7294,102,11.42857143,8,7814165,5060.325487,23054798,3060.010896,8764243,5718.957631,2416650,5001.618421,479,7.655172414,56,5075693,6228.023663,820,22.15384615,35,8764243,5718.957631,18891381,2542.932626,6719276,4324.959208,2122407,4523.979118,460,3.803571429,104,861201,4922.651852,180,2.640449438,56,6719276,4324.959208,8181707,1086.230481,11309386,7906.185484,13433,1935.272727,5,1.2,3,5608322,8371.625,680,32.38461538,22,11309386,7906.185484
7,1A1_B08,B08,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,8,632,1438,1.240447495,1.584219685,11083603.5,8074.489182,2038.631004,42.78923047,13248584,1863.714736,7498508,4990.216382,4659,2764.901,1,1,1,649688,7518.409532,87,10.53529412,8,7498508,4990.216382,22653721.5,3105.099896,8538118,5859.377001,2558950,5149.769413,494,9.081349206,52.5,5162337,6316.267543,784,24.17702596,31,8538118,5859.377001,17066989,2337.193769,5936197.5,4001.042718,1907199.5,4299.875921,463.5,4.083919775,104,794545,4559.096277,179.5,2.753787879,55,5936197.5,4001.042718,7535429.5,1028.794681,11052498.5,8057.559217,8327.5,2056.693548,3,1,1,5492203,8456.382472,652,35.86277174,19,11052498.5,8057.559217
8,1A1_B09,B09,Plate1_drugs,1,bleomycin,treated,0.03125,0.625,1A1,2,9,638,1543.5,1.219513619,1.51763193,11923544,7902.054165,1987.892775,44.331086,14850440.5,1999.126152,8141537.5,5094.925298,4396.5,2911.754167,1,1,1,735551,7502.120483,95,11.225,8,8141537.5,5094.925298,24476179,3248.717212,9641293,5952.868012,2114225.5,5324.986026,367.5,8.258771444,44,4637439.5,6624.025258,703,20.3790277,33,9641293,5952.868012,18579604,2465.755535,6623928,4173.580432,1884100,4499.97392,411.5,4.055794203,98.5,691173.5,4791.796402,145.5,2.582134831,48,6623928,4173.580432,8076677.5,1078.54039,11902547,7877.363006,8693,2007.880952,3,1,2,5555709.5,8381.434119,681,32.625,21,11902547,7877.363006
9,1A1_B10,B10,Plate1_drugs,1,bleomycin,treated,0.015625,0.3125,1A1,2,10,554,1538.5,1.223094417,1.514217187,11484581.5,7954.814791,1998.863741,44.25922022,14455614,1938.342067,7698943.5,4976.506197,4643,2564.8,1,1,1,715044,7542.859769,98,10.92857143,8,7698943.5,4976.506197,24891994,3186.904687,9424612,6159.933044,2851320.5,5192.814764,537,8.783868093,55,6033845,6606.481048,898.5,29.82105904,30,9424612,6159.933044,18883218,2456.2641,6485419,4203.875883,2219724,4413.3861,490,4.22795006,112.5,876869.5,4815.772814,185.5,2.798648649,54,6485419,4203.875883,8183437,1049.998655,11410741,7947.43407,8268,1998,3,1,2,5461348.5,8359.049571,663,34.87299465,21,11410741,7947.43407
10,1A1_B11,B11,Plate1_drugs,1,alvocidib,treated,1,20,1A1,2,11,120,2015,1.206642493,1.458586635,16465712.5,7851.60797,2043.184811,50.65150694,11397034.5,1083.178546,8456649,4104.269001,197849,2437.169365,67,3.053571429,11,308020,4480.706974,66,2.874871795,9.5,8456649,4104.269001,29283792,2719.312733,13242247,6565.110404,5476371.5,4477.210463,1352.5,10.61217532,136,9536264,7178.158425,1296.5,43.328125,30.5,13242247,6565.110404,21939352,2102.481906,10676162,5209.433589,4302341.5,4105.542129,1045.5,5.442518606,197.5,3367205.5,5797.247416,545,6.843343653,92.5,10676162,5209.433589,8334569.5,782.602472,16299910.5,7756.585201,0,0,0,0,0,5524824.5,8313.026958,649,28.06818182,24,16299910.5,7756.585201
