drug_conc,Metadata_plate,Metadata_well,Metadata_Row_as_num,Metadata_Col,Metadata_treatment_new,Metadata_treatment_old,Metadata_type,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,cell_count_POC_A,cell_count_POC_C2,cell_count_POC_C1,cell_count_POC_B,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,RingTotalInten_RNA,CircSpotTotalInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,CircSpotCount_RNA,TotalInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotAvgArea_PMG,RingSpotCount_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,CircSpotCount_PMG,RingTotalInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgArea_MITO,CircSpotTotalInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,ObjectShapeP2A_NUC_B,ObjectShapeLWR_NUC_B,ObjectTotalInten_NUC_B,ObjectSize_NUC_B,RingTotalInten_Perox,RingAvgInten_Perox,RingSpotTotalInten_Perox,RingSpotTotalArea_Perox,RingSpotCount_Perox,TotalInten_Perox,AvgInten_Perox,RingTotalInten_Lipids,RingAvgInten_Lipids,RingSpotAvgInten_Lipids,RingSpotAvgArea_Lipids,RingSpotCount_Lipids,TotalInten_Lipids,AvgInten_Lipids,ObjectArea_NUC_C1,ObjectShapeLWR_NUC_C1,RingTotalInten_ER,RingSpotTotalInten_ER,RingSpotAvgInten_ER,RingSpotCount_ER,CircSpotAvgInten_ER,CircSpotTotalArea_ER,CircSpotAvgArea_ER,CircSpotCount_ER,TotalInten_ER,AvgInten_ER,ObjectShapeP2A_NUC_C2,ObjectShapeLWR_NUC_C2,ObjectSize_NUC_C2,RingTotalInten_TUB,RingSpotAvgInten_TUB,RingSpotTotalArea_TUB,RingSpotAvgArea_TUB,RingSpotCount_TUB,RingTotalInten_ACT,RingSpotTotalInten_ACT,RingSpotTotalArea_ACT,RingSpotCount_ACT,TotalInten_ACT
1_DMSO,NA,NA,NA,NA,DMSO,NA,control,B02,Plate1_drugs,1,DMSO,control,NULL,NULL,0.760869565,0.818181818,0.792270531,0.772861357,0.261292222,0.096202043,0.354908663,0.403185985,0.439274986,0.508186772,0.397924086,0.439566895,0.391363047,0.495038633,0.470131335,0.474834734,0.423864148,0.435728352,0.436584708,0.579572182,0.359742704,0.421303937,0.457837909,0.515601429,0.444213361,0.303950132,0.468858275,0.451164855,0.312364703,0.483496659,0.399507756,0.343186251,0.385909775,0.47123092,0.224814223,0.268459074,0.275430631,0.275938209,0.201127584,0.409173791,0.275623522,0.480403399,0.454021714,0.400819461,0.441964819,0.472991397,0.544704341,0.504876957,0.282479967,0.269883266,0.259755418,0.391743931,0.515722541,0.400288419,0.412206544,0.279563137,0.366978024,0.40587055,0.270404903,0.420243415,0.242503158,0.186741286,0.233680282,0.318592132,0.415244908,0.310202107,0.504252367,0.41556314,0.508695492,0.379482891,0.361899559,0.498819196,0.475533882
10_DMSO,NA,NA,NA,NA,DMSO,NA,control,D10,Plate1_drugs,1,DMSO,control,NULL,NULL,1.099744246,1.099778271,1.101449275,1,0.2691548,0.247499211,0.425888645,0.51778657,0.307371101,0.362136972,0.245271629,0.37323384,0.395255384,0.387901478,0.182888267,0.332944937,0.403695677,0.412033582,0.190223187,0.469527508,0.324317239,0.44118345,0.338389993,0.23477381,0.301440559,0.393482449,0.454821303,0.346597042,0.468119949,0.411871766,0.320568253,0.273998088,0.375071967,0.227777052,0.273352984,0.33487884,0.308549579,0.298673625,0.328097675,0.302366065,0.332389057,0.315558456,0.322694678,0.368967086,0.341780623,0.432915322,0.315723917,0.395442213,0.370391759,0.216566144,0.158457914,0.357581438,0.35911398,0.403616572,0.298521269,0.360307935,0.365360234,0.250114963,0.434935124,0.258878543,0.278592265,0.104962745,0.186960084,0.225203038,0.136859282,0.27525921,0.362230803,0.269109634,0.384042523,0.170549899,0.361462501,0.339864912,0.353033665
100_DMSO,NA,NA,NA,NA,DMSO,NA,control,M08,Plate1_drugs,1,DMSO,control,NULL,NULL,1.086797066,0.956120092,1,0.950980392,0.142968158,0.100104948,0.217980573,0.135475934,0.483050102,0.315508925,0.24858655,0.264153399,0.253311053,0.526712229,0.083708329,0.32444932,0.397395083,0.352697918,0.280892922,0.386104517,0.51838945,0.47672442,0.209018774,0.436698137,0.25442766,0.144317576,0.139436814,0.160387764,0.235549162,0.176188469,0.45122769,0.355176637,0.305447922,0.379287866,0.360454494,0.336466619,0.474500317,0.406661317,0.446457797,0.281566,0.328678556,0.325605777,0.31596415,0.321845888,0.231111043,0.411091632,0.162634344,0.439900507,0.280342715,0.222031547,0.147315881,0.430222941,0.433395904,0.168637072,0.430969797,0.322837235,0.384006261,0.279684727,0.146225719,0.484307455,0.300100336,0.182496341,0.341464827,0.289592874,0.320528407,0.162769274,0.441365027,0.461355883,0.326495126,0.390502564,0.308892237,0.259768158,0.353250464
101_DMSO,NA,NA,NA,NA,DMSO,NA,control,M13,Plate1_drugs,1,DMSO,control,NULL,NULL,0.898533007,0.868360277,1.006550218,1.075163399,0.267418092,0.195507983,0.170880825,0.200675728,0.425355839,0.434370859,0.226080156,0.344640639,0.306308456,0.42160265,0.158469084,0.363611288,0.318361906,0.437350987,0.275966867,0.41464242,0.506761323,0.509518757,0.387789903,0.224502772,0.335056261,0.262373636,0.181692566,0.156863492,0.317160447,0.241573979,0.333503499,0.361477129,0.25644699,0.264496026,0.14648449,0.232533149,0.31174137,0.255906162,0.310423791,0.187752054,0.266435492,0.46456455,0.352874325,0.369923952,0.322755773,0.435490633,0.311745622,0.246819592,0.223760772,0.205031806,0.09250251,0.339337466,0.320654947,0.244804774,0.298183805,0.304850903,0.307306022,0.226510077,0.186901624,0.28926952,0.236079374,0.148456491,0.106075859,0.103391845,0.284645354,0.194172612,0.279453403,0.281322529,0.316318092,0.252586311,0.418999769,0.400346719,0.33971335
102_DMSO,NA,NA,NA,NA,DMSO,NA,control,M19,Plate1_drugs,1,DMSO,control,NULL,NULL,1.003667482,0.935334873,1.013100437,1.019607843,0.188904745,0.127951188,0.206822498,0.205750597,0.376812937,0.43993126,0.325942351,0.343538263,0.438445911,0.41737685,0.204745296,0.432854169,0.278145598,0.372914835,0.435072264,0.194699334,0.432589048,0.294315727,0.263755545,0.372011457,0.369664634,0.224502267,0.197838558,0.260544481,0.216366827,0.298551026,0.424102563,0.439254838,0.383802333,0.219802527,0.319057345,0.253989017,0.410158243,0.323431866,0.372414347,0.221792457,0.158481295,0.446432369,0.471650338,0.549309311,0.292011936,0.613105504,0.366815473,0.41894551,0.217373376,0.231079547,0.366076731,0.327046216,0.499948444,0.323397901,0.483756843,0.370262873,0.352269904,0.344524416,0.286290148,0.512863562,0.327401111,0.165930706,0.330408275,0.348466662,0.268457662,0.243713227,0.382936444,0.460388662,0.234973211,0.164158153,0.242865143,0.265008725,0.28834521
103_DMSO,NA,NA,NA,NA,DMSO,NA,control,N04,Plate1_drugs,1,DMSO,control,NULL,NULL,1.015892421,0.939953811,0.930131004,1.545751634,0.242920885,0.151343172,0.126703268,0.267204174,0.295055034,0.316016543,0.214907537,0.338513888,0.34237671,0.235137377,0.314947183,0.427875985,0.234033996,0.39389634,0.416583611,0.253270421,0.474041987,0.481537048,0.327829972,0.493676807,0.527941606,0.401820565,0.140284197,0.293615683,0.294275629,0.323574885,0.172945342,0.353458826,0.31476595,0.44959468,0.368735006,0.191101173,0.26298475,0.348982394,0.449191624,0.389567241,0.147080416,0.531735419,0.283075517,0.428552737,0.337629419,0.529396743,0.536111698,0.353697327,0.223660331,0.286896798,0.305661237,0.427531532,0.414398929,0.198413707,0.445514775,0.241941011,0.308976159,0.333785475,0.271534391,0.460717477,0.260959715,0.152216234,0.166969302,0.31129265,0.286166138,0.181032894,0.399793287,0.37847078,0.186577629,0.188607204,0.250284475,0.286483679,0.359645077
104_DMSO,NA,NA,NA,NA,DMSO,NA,control,N09,Plate1_drugs,1,DMSO,control,NULL,NULL,0.985330073,0.891454965,1.037117904,1.235294118,0.185259767,0.097915749,0.210462755,0.241149125,0.409550538,0.48255068,0.215220768,0.379101571,0.415079886,0.420768123,0.387813006,0.382045688,0.383684268,0.484926132,0.393146872,0.307325335,0.535647536,0.514746757,0.355358378,0.569303493,0.664549707,0.590105208,0.219894159,0.195563487,0.34141573,0.353453652,0.366633913,0.179901031,0.271336153,0.262289817,0.138642416,0.16613953,0.2040519,0.096332321,0.22506459,0.195226035,0.215837357,0.541098878,0.390617776,0.292111471,0.280590833,0.482994483,0.517044708,0.405442306,0.25647964,0.209387748,0.130838287,0.274626151,0.370635499,0.309413464,0.400586551,0.317413993,0.330363368,0.327085417,0.343569728,0.241042437,0.299370792,0.227016935,0.332165092,0.317601311,0.32432619,0.309581838,0.365863881,0.402212398,0.32692967,0.421008118,0.441027637,0.427596352,0.2628072
105_DMSO,NA,NA,NA,NA,DMSO,NA,control,N14,Plate1_drugs,1,DMSO,control,NULL,NULL,0.819070905,0.849884527,0.938864629,1.267973856,0.301675931,0.141546919,0.413317074,0.464918112,0.329342038,0.345916028,0.318292526,0.289403076,0.406127788,0.484587678,0.210206425,0.326675937,0.514594914,0.295214312,0.38764964,0.473277163,0.359607418,0.649775758,0.316791842,0.294622053,0.415653422,0.355355848,0.334282363,0.229641138,0.365637174,0.399939885,0.395650945,0.211562334,0.270650301,0.178048448,0.317113844,0.160940574,0.288091827,0.3197805,0.302819746,0.251534048,0.336494933,0.518512909,0.365881316,0.38837494,0.259470647,0.471078527,0.490691328,0.346828744,0.312051955,0.230270201,0.352826128,0.325339185,0.441692163,0.202313883,0.441267949,0.238615432,0.364160589,0.345018251,0.361313513,0.325004118,0.368447053,0.22744958,0.298368122,0.33283273,0.39060296,0.385228865,0.477338615,0.472761691,0.462130384,0.435146337,0.369913556,0.324719485,0.382917927
106_DMSO,NA,NA,NA,NA,DMSO,NA,control,N20,Plate1_drugs,1,DMSO,control,NULL,NULL,1.036674817,0.983833718,0.923580786,0.901960784,0.144763698,0.147812037,0.352063576,0.388269926,0.332961807,0.332354829,0.298248871,0.304860438,0.319194484,0.507361489,0.203500892,0.252740341,0.211354462,0.270001765,0.298249408,0.237265943,0.513798079,0.352551623,0.365009768,0.210590478,0.323449654,0.398155487,0.241749872,0.284615214,0.272600055,0.370417164,0.239655993,0.120441765,0.263667758,0.364679416,0.243225235,0.261449198,0.361271778,0.240617696,0.293273222,0.261504856,0.420075882,0.504674968,0.426320957,0.283660245,0.222793741,0.435340154,0.472777583,0.251035949,0.286300161,0.173322834,0.308020105,0.359503566,0.462686895,0.212395673,0.464876751,0.278361797,0.265705291,0.345981838,0.383866751,0.348485817,0.294240816,0.117606821,0.261010417,0.297661315,0.399556696,0.331580668,0.249064426,0.306372131,0.501840375,0.399410333,0.356406867,0.408713295,0.486855473
107_DMSO,NA,NA,NA,NA,DMSO,NA,control,O05,Plate1_drugs,1,DMSO,control,NULL,NULL,0.963325183,0.870669746,0.903930131,1.133986928,0.262422583,0.175282625,0.327637653,0.177584054,0.450282552,0.426053371,0.224453898,0.331753599,0.320706633,0.47723667,0.306609471,0.328688982,0.353312042,0.300107509,0.314109242,0.474816994,0.381276632,0.505968249,0.305307273,0.380380689,0.336934705,0.313228864,0.296790566,0.353655871,0.375076027,0.242301865,0.429661055,0.350793265,0.334991234,0.441256565,0.18260232,0.318387368,0.247394445,0.243310078,0.1935871,0.323259583,0.340101143,0.426665078,0.242299502,0.259867301,0.217328367,0.437302677,0.274649997,0.454965509,0.221824051,0.12170866,0.221967553,0.461998352,0.415641131,0.248601472,0.442443865,0.331559132,0.361344975,0.230790468,0.254217937,0.354560778,0.335726112,0.241135236,0.258341432,0.306726212,0.471415043,0.222164341,0.520478559,0.459722374,0.249542876,0.402152309,0.440586491,0.338303808,0.287847209
