drug_conc,Metadata_plate,Metadata_well,Metadata_Row_as_num,Metadata_Col,Metadata_treatment_new,Metadata_treatment_old,Metadata_type,Metadata_Drug_name,Metadata_dil_factor,Metadata_concentration_uM,cell_count_POC_A,cell_count_POC_C2,cell_count_POC_C1,cell_count_POC_B,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,RingTotalInten_RNA,RingAvgInten_RNA,CircTotalInten_RNA,CircAvgInten_RNA,RingSpotTotalInten_RNA,RingSpotAvgInten_RNA,RingSpotTotalArea_RNA,RingSpotAvgArea_RNA,RingSpotCount_RNA,CircSpotTotalInten_RNA,CircSpotAvgInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,CircSpotCount_RNA,TotalInten_RNA,AvgInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,CircTotalInten_PMG,CircAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotTotalArea_PMG,RingSpotAvgArea_PMG,RingSpotCount_PMG,CircSpotTotalInten_PMG,CircSpotAvgInten_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,CircSpotCount_PMG,TotalInten_PMG,AvgInten_PMG,RingTotalInten_MITO,RingAvgInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgInten_MITO,RingSpotTotalArea_MITO,RingSpotAvgArea_MITO,RingSpotCount_MITO,TotalInten_MITO,AvgInten_MITO,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex,ObjectArea_NUC_B,ObjectShapeP2A_NUC_B,ObjectShapeLWR_NUC_B,ObjectTotalInten_NUC_B,ObjectAvgInten_NUC_B,ObjectVarInten_NUC_B,ObjectSize_NUC_B,RingTotalInten_Lyso,RingAvgInten_Lyso,CircTotalInten_Lyso,CircAvgInten_Lyso,RingSpotTotalInten_Lyso,RingSpotAvgInten_Lyso,RingSpotTotalArea_Lyso,RingSpotAvgArea_Lyso,RingSpotCount_Lyso,CircSpotTotalInten_Lyso,CircSpotAvgInten_Lyso,CircSpotTotalArea_Lyso,CircSpotAvgArea_Lyso,CircSpotCount_Lyso,TotalInten_Lyso,AvgInten_Lyso,RingTotalInten_Perox,RingAvgInten_Perox,CircTotalInten_Perox,CircAvgInten_Perox,RingSpotTotalInten_Perox,RingSpotAvgInten_Perox,RingSpotTotalArea_Perox,RingSpotAvgArea_Perox,RingSpotCount_Perox,CircSpotTotalInten_Perox,CircSpotAvgInten_Perox,CircSpotTotalArea_Perox,CircSpotAvgArea_Perox,CircSpotCount_Perox,TotalInten_Perox,AvgInten_Perox,RingTotalInten_Lipids,RingAvgInten_Lipids,CircTotalInten_Lipids,CircAvgInten_Lipids,RingSpotTotalInten_Lipids,RingSpotAvgInten_Lipids,RingSpotTotalArea_Lipids,RingSpotAvgArea_Lipids,RingSpotCount_Lipids,CircSpotTotalInten_Lipids,CircSpotAvgInten_Lipids,CircSpotTotalArea_Lipids,CircSpotAvgArea_Lipids,CircSpotCount_Lipids,TotalInten_Lipids,AvgInten_Lipids,ObjectArea_NUC_C1,ObjectShapeP2A_NUC_C1,ObjectShapeLWR_NUC_C1,ObjectTotalInten_NUC_C1,ObjectAvgInten_NUC_C1,ObjectVarInten_NUC_C1,ObjectSize_NUC_C1,RingTotalInten_ER,RingAvgInten_ER,CircTotalInten_ER,CircAvgInten_ER,RingSpotTotalInten_ER,RingSpotAvgInten_ER,RingSpotTotalArea_ER,RingSpotAvgArea_ER,RingSpotCount_ER,CircSpotTotalInten_ER,CircSpotAvgInten_ER,CircSpotTotalArea_ER,CircSpotAvgArea_ER,CircSpotCount_ER,TotalInten_ER,AvgInten_ER,ObjectArea_NUC_C2,ObjectShapeP2A_NUC_C2,ObjectShapeLWR_NUC_C2,ObjectTotalInten_NUC_C2,ObjectAvgInten_NUC_C2,ObjectVarInten_NUC_C2,ObjectSize_NUC_C2,RingTotalInten_TUB,RingAvgInten_TUB,CircTotalInten_TUB,CircAvgInten_TUB,RingSpotTotalInten_TUB,RingSpotAvgInten_TUB,RingSpotTotalArea_TUB,RingSpotAvgArea_TUB,RingSpotCount_TUB,CircSpotTotalInten_TUB,CircSpotAvgInten_TUB,CircSpotTotalArea_TUB,CircSpotAvgArea_TUB,CircSpotCount_TUB,TotalInten_TUB,AvgInten_TUB,RingTotalInten_ACT,RingAvgInten_ACT,CircTotalInten_ACT,CircAvgInten_ACT,RingSpotTotalInten_ACT,RingSpotAvgInten_ACT,RingSpotTotalArea_ACT,RingSpotAvgArea_ACT,RingSpotCount_ACT,CircSpotTotalInten_ACT,CircSpotAvgInten_ACT,CircSpotTotalArea_ACT,CircSpotAvgArea_ACT,CircSpotCount_ACT,TotalInten_ACT,AvgInten_ACT
vorinostat_0.3125_0.015625,2,L20,12,20,vorinostat,"Vorinostat (SAHA, MK0683)",treated,vorinostat,0.015625,0.3125,1.116995074,1.062568606,1.102356406,0.929092805,0.106945897,0.265469678,0.177708148,0.166128775,0.090265416,0.077090325,0.102436472,0.263631037,0.135126182,0.170050116,0.106749268,1.078307103,0.085933052,1.432323496,0.345843445,0.418130186,0.163303707,0.121772914,0.046986169,0.046074988,0.129110197,0.170050116,0.106749268,0.172819912,0.104991096,0.23527893,0.207646776,0.317723731,0.161389306,0.378804232,0.063113811,0.432117058,0.287778292,0.1457111,0.342647977,0.801797034,0.178186733,0.23527893,0.207646776,0.15551107,0.24210139,0.106010299,0.144785783,0.096397193,0.133970911,0.077042253,0.141905449,0.146895919,0.163607727,0.087805156,0.070015904,0.054383742,0.080269549,0.226995263,0.103635996,0.163607727,0.087805156,0.479998617,0.253769348,0.100238508,0.30246582,0.3211209,0.328451081,0.450278713,0.066997299,0.14383771,0.273947283,0.360586298,0.839206532,0.110274479,1.122890213,0.251322099,0.689610232,0.203784701,0.189866396,0.265542149,0.141355666,0.416133421,0.273947283,0.360586298,0.091786734,0.154184447,0.083771055,0.363590108,0.07306471,0.195096616,0.027306411,0.297553064,0.201376332,0.091157883,0.142074349,0.044275754,0.155489299,0.124314758,0.083771055,0.363590108,0.150331068,0.340421734,0.426913274,0.138705518,0.52147482,0.42117411,0.6935766,0.142347688,0.805534728,0.757290421,0.364921206,0.873999519,0.296723208,0.873529746,0.426913274,0.138705518,0.050373065,0.246971666,0.249406529,0.193024365,0.251238943,0.226428203,0.048257223,0.055616495,0.502388098,0.081842319,0.361945439,0.09569248,0.211272627,0.076840786,0.186244783,0.066067539,0.052868811,0.196974301,0.035870293,0.197124488,0.18294305,0.081842319,0.361945439,0.08494804,0.228616688,0.224370483,0.102314579,0.19890904,0.155130847,0.089298491,0.050500122,0.211340434,0.048077463,0.130328601,0.060942201,0.144208568,0.068868506,0.135635182,0.092730457,0.11738174,0.160899634,0.103268234,0.06833624,0.125180522,0.048077463,0.130328601,0.24588244,0.167457827,0.059715863,0.22139986,0.029010555,0.512202481,0.0576742,0.321430305,0.134708456,0.193179272,0.294170278,0.193854366,0.193347703,0.066985335,0.059715863,0.22139986
vorinostat_0.625_0.03125,2,L19,12,19,vorinostat,"Vorinostat (SAHA, MK0683)",treated,vorinostat,0.03125,0.625,1.098522167,1.031284303,1.016200295,1.038581856,0.057534793,0.284844445,0.23486824,0.106273814,0.04796208,0.051011246,0.05264521,0.260862376,0.32848794,0.161726709,0.147883925,0.91922147,0.077659655,1.367169015,0.314913113,0.378855624,0.120253185,0.186246449,0.065727547,0.104842969,0.122791637,0.161726709,0.147883925,0.117024505,0.314996612,0.18808569,0.184616263,0.070768567,0.229629798,0.130281636,0.077840179,0.180962725,0.115740905,0.175676828,0.134433792,0.543985311,0.107172856,0.18808569,0.184616263,0.124091504,0.34683647,0.125826679,0.26258854,0.069120078,0.116800504,0.07163256,0.159647772,0.182900922,0.102980719,0.04277599,0.047856803,0.035739047,0.046360415,0.220399368,0.119306201,0.102980719,0.04277599,0.54803092,0.238818227,0.11764038,0.355309396,0.316606973,0.326778096,0.5099303,0.054556508,0.101997587,0.297807833,0.505505769,0.34760064,0.047818501,0.329334525,0.096451362,0.388466776,0.141391911,0.120804024,0.099745639,0.164252042,0.08071608,0.297807833,0.505505769,0.060823302,0.052842841,0.071406967,0.501069181,0.052311939,0.060649941,0.072323454,0.058250228,0.093433165,0.135584309,0.184243052,0.097390233,0.187744018,0.077366693,0.071406967,0.501069181,0.1356178,0.405740036,0.419019191,0.187850035,0.117436495,0.583517612,0.20528031,0.100997715,0.350313789,0.343976979,0.306717183,0.341008442,0.137604392,0.405964862,0.419019191,0.187850035,0.063703665,0.24740492,0.230527305,0.105149909,0.259157742,0.250951125,0.056540477,0.094982536,0.687615339,0.138299203,0.556439185,0.171487033,0.39022016,0.138092259,0.084642174,0.060441466,0.165159108,0.365706583,0.129085404,0.096777738,0.200673625,0.138299203,0.556439185,0.057769346,0.190575882,0.180541474,0.146939056,0.286300914,0.209314643,0.056120059,0.049165548,0.268668168,0.061560859,0.171787547,0.088609012,0.226078886,0.055175588,0.093078857,0.029449379,0.152436825,0.200529366,0.116548921,0.099985281,0.129663556,0.061560859,0.171787547,0.142157776,0.1570323,0.051355589,0.16244523,0.113474816,0.367803754,0.109653815,0.103928564,0.083864002,0.191949909,0.201328007,0.162479344,0.284471628,0.022476369,0.051355589,0.16244523
vorinostat_1.25_0.0625,2,L17,12,17,vorinostat,"Vorinostat (SAHA, MK0683)",treated,vorinostat,0.0625,1.25,0.993431856,0.936882547,0.994845361,0.892596455,0.114903978,0.224106246,0.141707974,0.222046203,0.17221028,0.059253123,0.107950136,0.425424969,0.108038214,0.261636581,0.130542103,1.703460392,0.161185992,1.946809882,0.590790714,0.778193939,0.079884098,0.168677502,0.039004268,0.097535296,0.25001366,0.261636581,0.130542103,0.153161345,0.117556102,0.181769805,0.166798206,0.086306345,0.162386518,0.14214332,0.159431321,0.294044366,0.095207191,0.168915494,0.146701852,0.374556137,0.202578203,0.181769805,0.166798206,0.155909489,0.154904073,0.295013686,0.131926563,0.35534756,0.323135371,0.049541464,0.150087477,0.114934249,0.223382953,0.17489583,0.134184311,0.137718295,0.109545056,0.086842429,0.14294545,0.223382953,0.17489583,0.505617897,0.190168323,0.067697146,0.261207014,0.365224496,0.265873616,0.459651356,0.05775999,0.124341199,0.282599293,0.406452915,0.197450143,0.040316115,0.249656762,0.079420023,0.311570304,0.071251927,0.079026526,0.071669203,0.043731417,0.100558736,0.282599293,0.406452915,0.059757799,0.099591612,0.074044625,0.375480234,0.062632345,0.080134775,0.066342093,0.096768054,0.107877605,0.111728842,0.086228045,0.081197682,0.125447111,0.076813566,0.074044625,0.375480234,0.238351716,0.266051196,0.426913372,0.144768773,1.328385648,0.482671267,1.292792369,0.081937862,1.206595881,1.005868378,0.273705193,1.197309324,0.202548414,1.232489544,0.426913372,0.144768773,0.090066787,0.27762136,0.301755736,0.142337305,0.180041057,0.203437309,0.088534317,0.108128257,0.233845701,0.046957293,0.159540563,0.072766364,0.109576415,0.068216041,0.101334596,0.037670692,0.082732993,0.09281138,0.070414743,0.241139465,0.147873278,0.046957293,0.159540563,0.042114353,0.334990574,0.268426429,0.210250915,0.494500235,0.275463976,0.048170523,0.115528533,0.207840095,0.060000725,0.140158526,0.037827209,0.093312805,0.05481815,0.124903669,0.100312235,0.08193589,0.182481403,0.075211767,0.141957906,0.117675099,0.060000725,0.140158526,0.197142306,0.067551348,0.076920839,0.174456507,0.070331031,0.341636578,0.158560633,0.094656752,0.16026542,0.087648341,0.244846737,0.093411263,0.074266297,0.083737738,0.076920839,0.174456507
vorinostat_10_0.5,2,L14,12,14,vorinostat,"Vorinostat (SAHA, MK0683)",treated,vorinostat,0.5,10,0.898604269,0.775521405,0.793814433,0.812304484,0.216223228,0.301283989,0.210044128,0.209193073,0.04084221,0.067374575,0.202176078,0.667697949,0.165060742,0.555108326,0.267346952,2.321538245,0.186608701,2.544019385,0.832626853,0.850506411,0.344447917,0.4168177,0.063513403,0.190574768,0.184558122,0.555108326,0.267346952,0.508880809,0.116727981,0.574369494,0.434510168,0.050627797,0.062309596,0.057006989,0.363985849,0.2247591,0.358743588,0.255278981,0.178968571,0.175156463,0.081569142,0.574369494,0.434510168,0.56831211,0.383908216,0.714444596,0.290672773,0.660780112,0.29645268,0.392141135,0.546034183,0.459023643,0.208332527,0.041101298,0.063067443,0.03768362,0.081427071,0.128225181,0.111118769,0.208332527,0.041101298,0.082625746,0.131232559,0.086715993,0.287894181,0.456383638,0.301906014,0.077887004,0.143210525,0.099166428,0.058814396,0.155353485,1.237436065,0.083003261,1.01154091,0.310760835,0.86653834,0.305373211,0.120058475,0.364286791,0.180589356,0.345032778,0.058814396,0.155353485,0.190599659,0.119255204,0.092135406,0.169946502,0.271992933,0.143616084,0.251275934,0.226630309,0.406673523,0.117545034,0.112769454,0.071434668,0.090877773,0.14857758,0.092135406,0.169946502,0.192277867,0.140769636,0.08244238,0.184157838,1.129208233,0.527743871,1.169003698,0.197179616,1.200960341,0.776204768,0.340990768,1.005905268,0.227002371,1.148080784,0.08244238,0.184157838,0.274236577,0.116520596,0.228853895,0.459388895,0.462574417,0.276582353,0.239215869,0.286926335,0.273099775,0.259952932,0.187810386,0.139623643,0.137199476,0.154927232,0.200085514,0.194754869,0.211374052,0.091557817,0.17024549,0.451567124,0.324803382,0.259952932,0.187810386,0.191356968,0.195786914,0.269359758,0.218988438,0.105914666,0.11767283,0.181833322,0.266962714,0.218679547,0.164924997,0.186399367,0.167323452,0.242815329,0.144613843,0.123947545,0.159770306,0.186505093,0.28052854,0.150214188,0.308666083,0.283098095,0.164924997,0.186399367,0.299113254,0.106327982,0.145113929,0.159167104,0.411646073,0.417300649,0.483717968,0.304371505,0.28225652,0.63268715,0.265145086,0.636598785,0.440025872,0.359549119,0.145113929,0.159167104
vorinostat_2.5_0.125,2,L16,12,16,vorinostat,"Vorinostat (SAHA, MK0683)",treated,vorinostat,0.125,2.5,1.034482759,0.845225027,0.91089838,1.12721585,0.077479056,0.222876769,0.1626142,0.123491236,0.067813708,0.062555469,0.075917364,0.520381312,0.292187912,0.265210856,0.076481556,1.477536049,0.143170547,1.761451684,0.557232721,0.598868635,0.159587318,0.120784424,0.026178561,0.079202289,0.156296668,0.265210856,0.076481556,0.190494973,0.070737734,0.157839363,0.110812186,0.172830267,0.098963974,0.213546152,0.204379409,0.161579548,0.071469124,0.085108107,0.070905554,0.462222475,0.08205866,0.157839363,0.110812186,0.167452183,0.138080012,0.13801308,0.128737306,0.154686021,0.145626813,0.061014207,0.125963472,0.095972146,0.120626496,0.067225433,0.034558752,0.05941338,0.035143287,0.162036098,0.089175681,0.120626496,0.067225433,0.295043416,0.29361934,0.078042948,0.253166714,0.113238814,0.226990737,0.281382925,0.118206939,0.196707666,0.100748484,0.49355218,0.2416847,0.113137278,0.220427361,0.132950854,0.20040001,0.076460434,0.138618707,0.125408749,0.075157967,0.097092758,0.100748484,0.49355218,0.144254895,0.155173234,0.189636276,0.460327742,0.087343042,0.200746675,0.061666376,0.13410953,0.097783679,0.211717719,0.211340377,0.139594625,0.093473054,0.048123242,0.189636276,0.460327742,0.060034733,0.187035696,0.200593719,0.344930275,0.52598295,0.309699753,0.583770441,0.195756733,0.728365798,0.609668377,0.417068027,0.731134779,0.300873342,0.772921451,0.200593719,0.344930275,0.06740012,0.245278719,0.165006786,0.124871161,0.194716437,0.21835142,0.062749726,0.070551228,0.396904321,0.075732807,0.359812908,0.235521041,0.269689904,0.197067441,0.144079355,0.060058837,0.181957503,0.277438623,0.141669823,0.110254274,0.174934922,0.075732807,0.359812908,0.076583826,0.271914607,0.237812821,0.088045432,0.198971637,0.114332193,0.075328673,0.135696387,0.349241131,0.045291033,0.173529576,0.031437024,0.24898264,0.082906738,0.180649927,0.282073045,0.096116932,0.196751178,0.075709301,0.146319356,0.168079408,0.045291033,0.173529576,0.162811514,0.110414148,0.058629785,0.107682391,0.12839563,0.221076792,0.051570922,0.106071591,0.237222293,0.18459668,0.161212182,0.089104148,0.263099722,0.127776567,0.058629785,0.107682391
vorinostat_20_1,2,L13,12,13,vorinostat,"Vorinostat (SAHA, MK0683)",treated,vorinostat,1,20,0.303776683,0.281009879,0.207658321,0.291970803,0.346200726,0.186442889,0.183621111,0.666986134,0.589892768,0.427928989,0.297920762,0.42361056,0.251291071,1.320029601,1.26412871,0.482432431,0.239726871,0.283354503,0.348545135,0.353922842,1.316659373,1.087481882,0.503670079,0.409283929,0.52748331,1.320029601,1.26412871,0.736198995,0.221784523,1.645232405,2.076926777,1.669008755,0.363722101,1.659113233,0.29753298,1.884454993,2.576619725,1.571503155,1.632408555,3.870234655,0.193675859,1.645232405,2.076926777,0.574924456,0.294771622,1.253107215,0.401100377,1.230680642,0.466872072,1.096426092,1.37803997,1.570163554,0.655603103,0.579383655,0.155741191,0.60043627,0.205265412,0.255989173,0.117831606,0.655603103,0.579383655,0.260133378,0.920089318,0.132919777,0.450962079,0.821715874,0.504950498,0.293725547,0.201666268,0.336393026,0.257721445,0.45017195,7.250493442,0.348352471,9.021824051,1.24962625,5.42424057,3.625256952,0.798948841,4.335515265,1.473625182,4.21418078,0.257721445,0.45017195,0.213207424,0.140833938,0.273885172,0.367931207,0.260892343,0.262895951,1.175577189,0.398415208,1.887596116,0.746292963,0.147987018,1.242862274,0.131168792,1.512612867,0.273885172,0.367931207,0.158123863,0.449080392,0.368784226,0.698675191,9.300878457,1.136015142,10.45686062,0.545300787,10.03447064,7.299053906,0.522358266,9.914535999,0.161965241,9.980895902,0.368784226,0.698675191,0.419447293,1.308198465,0.130356648,0.562877824,1.599500516,1.509852131,0.494794111,0.54501704,0.628921008,0.423135987,0.475107595,0.353607777,0.521052913,0.413845216,0.444220745,0.18836205,1.0240968,0.840547095,0.802766443,2.627321035,0.447525571,0.423135987,0.475107595,1.115705108,1.026572783,0.284198364,0.991125987,1.764506941,0.932334002,1.898769722,1.07022897,2.013944595,1.086304454,1.323013724,0.701528808,1.721634296,0.806362104,0.503479353,1.28569123,0.732550592,1.582531772,0.628195691,1.617841383,0.706103014,1.086304454,1.323013724,1.144291515,1.625564402,1.066128609,1.219138472,0.893423014,1.372813466,1.02396343,0.364370816,0.712112418,0.787384782,1.195227719,0.849393464,1.54188582,0.992665515,1.066128609,1.219138472
vorinostat_5_0.25,2,L15,12,15,vorinostat,"Vorinostat (SAHA, MK0683)",treated,vorinostat,0.25,5,1.016009852,0.96597146,1.013254786,0.925964546,0.118658094,0.398387437,0.239206461,0.129284556,0.050455524,0.076656846,0.115240086,0.341593978,0.085023319,0.192003554,0.05248078,1.962073057,0.175584442,2.161743998,0.814384819,0.610281865,0.113064578,0.102810376,0.065358196,0.074734489,0.250270699,0.192003554,0.05248078,0.240961293,0.173872803,0.314967711,0.234067045,0.122866891,0.076289576,0.146008425,0.253417132,0.047722063,0.205872407,0.149735872,0.062299881,0.354970835,0.072910016,0.314967711,0.234067045,0.506367723,0.584281047,0.395465908,0.533200269,0.270204371,0.222443087,0.070837324,0.472941954,0.524642361,0.127349598,0.05156799,0.03761847,0.057052715,0.063625875,0.168558624,0.133287241,0.127349598,0.05156799,0.359163732,0.144374564,0.068448082,0.388783708,0.078985542,0.129547565,0.339029901,0.031359375,0.103878046,0.214584382,0.328998802,0.550672684,0.074825565,0.627447312,0.144237639,0.353529658,0.173335541,0.116752743,0.171400783,0.143745638,0.126426228,0.214584382,0.328998802,0.060618576,0.072475431,0.069591437,0.316779238,0.147890021,0.071206745,0.200807757,0.226422052,0.368256292,0.141564828,0.079579726,0.109872342,0.171147532,0.32436258,0.069591437,0.316779238,0.144652577,0.273700682,0.344032265,0.101892414,0.241114361,0.709470206,0.490536015,0.149241824,0.667809826,0.565025977,0.347068879,0.778219729,0.192437458,0.744764845,0.344032265,0.101892414,0.054489909,0.390632398,0.318711154,0.272949025,0.412834751,0.25410754,0.046476885,0.169157221,0.175819724,0.085945937,0.193625298,0.076026084,0.125010676,0.064406609,0.255585115,0.092253998,0.279575248,0.150860714,0.260330368,0.177173864,0.238313198,0.085945937,0.193625298,0.096960347,0.306597596,0.294182021,0.095224399,0.154018501,0.087074403,0.099984222,0.212482904,0.337109922,0.045255175,0.17020683,0.083901803,0.210610555,0.051314202,0.160814645,0.052860394,0.16763036,0.215283438,0.131513791,0.068045835,0.152367753,0.045255175,0.17020683,0.20294598,0.23050999,0.08292362,0.153304498,0.241073308,0.227620123,0.152974103,0.110755132,0.037004128,0.337357926,0.183962456,0.279979961,0.322973636,0.079686468,0.08292362,0.153304498
vincristine_0.3125_0.015625,1,N10,14,10,vincristine,Vincristine,treated,vincristine,0.015625,0.3125,0.507870754,0.500372856,0.617151608,0.728042328,1.836023883,0.300763968,0.317240254,0.314064254,1.483740109,0.717638684,1.595167194,2.045670359,0.337003972,1.304208311,0.522585777,0.999130946,0.121545428,0.813290738,0.462242925,0.15330428,0.976685609,0.760879255,0.495661097,0.485922008,0.381617258,1.304208311,0.522585777,1.907688343,0.386136851,1.65660206,0.670493222,1.493768705,0.370847732,1.336882784,0.226989273,1.400708711,0.431480492,0.61316194,0.428938288,0.598225863,0.665606914,1.65660206,0.670493222,2.452033061,0.720127229,2.082740269,0.843573599,1.844787342,0.48885305,1.216118258,2.528740569,1.020586832,0.315024058,1.494239956,0.350996433,1.208280166,0.533675654,1.027261962,1.166755931,0.315024058,1.494239956,1.131431233,0.347207234,0.334769666,0.565488356,1.510694023,0.779697538,1.027364494,0.852722359,0.304718191,0.912105823,0.148311179,0.485806639,0.152682816,1.176259259,0.182488207,0.609925208,0.357450192,0.281574809,0.444916824,0.298097826,0.486004806,0.912105823,0.148311179,0.934754624,0.276953995,0.664858908,0.12212094,0.671983655,0.271149875,0.606732035,0.252481929,0.627981063,0.453526259,0.153282628,0.335631563,0.165017033,0.216506974,0.664858908,0.12212094,0.814825706,0.263051164,0.97383069,0.384247844,0.378466541,0.4744101,0.600580183,0.281009303,0.621509508,1.36265655,0.469289727,0.919215196,0.228644632,0.793673054,0.97383069,0.384247844,0.94448153,0.239558024,0.087226754,0.282772572,0.461621793,0.243080201,0.859193281,0.894997388,0.310567597,0.800359435,0.085480683,0.282370248,0.2259866,0.318495173,0.397248547,0.80613542,0.568911601,0.159651595,0.572114698,0.275539498,0.426726359,0.800359435,0.085480683,0.813443676,0.23520906,0.07966923,0.252945952,0.754065841,0.385549684,0.77132193,0.781119998,0.261336572,0.696493068,0.280096413,0.424097792,0.271892405,0.489075597,0.086659072,0.642304798,0.442892499,0.220095989,0.460569611,0.336755452,0.357218193,0.696493068,0.280096413,0.695639868,0.089585409,0.539893295,0.151275448,0.678134441,0.160231428,0.78117477,0.201542149,0.725416795,0.499447546,0.168442403,0.579569836,0.160926264,0.588908872,0.539893295,0.151275448
vincristine_0.625_0.03125,1,N08,14,8,vincristine,Vincristine,treated,vincristine,0.03125,0.625,0.505799503,0.587621178,0.650842266,0.833862434,2.107111315,0.211186504,0.247465961,0.291293755,1.442945116,0.651992932,1.802603519,2.088155888,0.225964755,1.449467249,0.557492206,1.287592645,0.121273653,1.145272736,0.262756183,0.312433809,1.008392798,0.724977314,0.640942992,0.533714805,0.596092502,1.449467249,0.557492206,2.146617827,0.423605502,2.026325198,0.805300248,1.524898376,0.391732617,1.319641088,0.277713276,1.955136107,0.893376389,0.654322938,0.833356502,0.655874628,1.26410828,2.026325198,0.805300248,2.994795669,1.042766574,2.2771765,1.235062095,1.65674183,0.185493038,1.780521281,3.378472892,1.469099217,0.285461363,1.454859236,0.250388699,1.136886592,0.694858451,1.125303842,2.087809203,0.285461363,1.454859236,0.853656557,0.481360135,0.442850961,0.491983849,1.244903337,0.657895299,0.786236033,0.702246314,0.457597172,0.623211996,0.232223532,1.573078007,0.24937127,2.49232194,0.557513896,1.183146213,0.617861038,0.424853769,0.711265769,0.57339168,0.760954936,0.623211996,0.232223532,1.023329891,0.561212772,0.451047731,0.129463441,1.041738948,0.790346267,0.619953773,0.177112903,0.974842535,0.234527635,0.456619807,0.071747455,0.183747918,0.13188737,0.451047731,0.129463441,0.870195944,0.583741412,0.867681708,0.577350114,0.396597292,0.757552171,0.426835945,0.151856416,0.342836095,1.639540475,0.750596134,0.904511936,0.207387615,0.896332946,0.867681708,0.577350114,0.948749296,0.188619723,0.071584692,0.227056753,0.903484537,0.504628858,0.866869319,0.89036561,0.372187006,0.767196366,0.221066454,0.350351121,0.324618936,0.348185687,0.413413238,0.777599346,0.339615034,0.325629557,0.34672831,0.359232406,0.42221614,0.767196366,0.221066454,0.924347856,0.320029882,0.129633818,0.280555405,0.906334753,0.459762755,0.852429239,0.976472685,0.099666967,0.779801066,0.301638844,0.748863678,0.258304043,0.857927548,0.22642536,1.168021196,0.489277318,0.27870499,0.508120559,0.42032093,0.588896199,0.779801066,0.301638844,0.882711547,0.099495022,0.563971069,0.193251425,0.972352173,0.184419085,1.144278895,0.351534964,1.023339579,0.566200136,0.198297552,0.757495136,0.228439385,0.900156435,0.563971069,0.193251425
vincristine_1.25_0.0625,1,N07,14,7,vincristine,Vincristine,treated,vincristine,0.0625,1.25,0.521541011,0.554064131,0.606431853,0.678306878,1.806649097,0.206522368,0.219199189,0.307438137,1.325940121,0.630148628,1.571612421,2.039117567,0.294817878,1.086208932,0.436877551,0.39698058,0.166551022,0.511364941,0.24905037,0.554607069,0.756563008,0.700222082,0.42452678,0.477856064,0.403968464,1.086208932,0.436877551,1.873273342,0.354314257,1.563103249,0.730760891,1.349505051,0.370255733,1.144472783,0.210849436,1.362171488,0.548573181,0.628263293,0.468940436,0.42049797,0.570128972,1.563103249,0.730760891,2.652793134,0.961423105,2.469412729,1.079263063,1.967396672,0.534963959,1.282183485,2.760050158,1.318684185,0.306802568,1.329392449,0.292455,1.05789037,0.561861205,1.013930224,1.092782056,0.306802568,1.329392449,1.185181205,0.324326326,0.359840814,0.512888201,1.613922445,0.795140335,1.062623148,0.888751233,0.345562832,0.999663303,0.140909017,0.852591383,0.166353566,1.491494522,0.302265159,0.756502207,0.345107878,0.318117652,0.350768645,0.364383731,0.453683683,0.999663303,0.140909017,1.043994459,0.360811763,0.798025734,0.095892993,0.695517602,0.102582644,0.751604111,0.371798323,0.646648785,0.568685696,0.129129471,0.483611123,0.278278457,0.231618835,0.798025734,0.095892993,0.792343286,0.229231052,0.91737712,0.32926014,0.221574498,0.2888414,0.294616653,0.231288969,0.359904348,1.354733162,0.365750181,0.966924003,0.22684476,0.786419,0.91737712,0.32926014,0.807708091,0.259481716,0.117147143,0.174378076,0.782187777,0.397371926,0.751253378,0.909941178,0.197955674,0.721781021,0.117585433,0.363907131,0.097338345,0.331665999,0.377634746,0.880502245,0.331878695,0.062608994,0.329515149,0.07955727,0.307939705,0.721781021,0.117585433,0.867238171,0.281072231,0.122228484,0.249967227,0.897223399,0.467052563,0.808092371,0.920432136,0.138251518,0.800363665,0.189230045,0.562136945,0.13503429,0.596241879,0.226969271,0.701995113,0.559649957,0.205901154,0.55475425,0.352069288,0.43921964,0.800363665,0.189230045,0.740207089,0.050808602,0.518014838,0.206827477,0.849701818,0.25478772,1.076583746,0.311040157,0.919641173,0.583035041,0.221078517,0.759995494,0.181931071,0.792027686,0.518014838,0.206827477
