Treatment,Metadata_treatment_old,Metadata_treatment_new,Drug_name,Metadata_dil_factor,Metadata_concentration_uM,drug_conc,Cell_count_poc,cell_count_POC_C2,cell_count_POC_C1,cell_count_POC_B,V1,V2,V3
treated,Perifosine (KRX-0401),perifosine,perifosine,0.015625,0.3125,perifosine_0.3125_0.015625,0.988505747,1.083973655,1.114138439,0.845672576,0.908632277,-2.198493747,2.166699796
treated,Perifosine (KRX-0401),perifosine,perifosine,0.03125,0.625,perifosine_0.625_0.03125,1.070607553,1.131723381,1.147275405,0.987486966,0.811759291,-2.274829365,2.01746132
treated,Perifosine (KRX-0401),perifosine,perifosine,0.0625,1.25,perifosine_1.25_0.0625,1.024220033,1.03402854,1.088365243,0.868613139,1.033981256,-2.157169853,2.100643003
treated,Perifosine (KRX-0401),perifosine,perifosine,0.125,2.5,perifosine_2.5_0.125,0.990147783,0.991767289,0.995581738,0.928050052,0.71310616,-2.335769996,2.13851121
treated,Perifosine (KRX-0401),perifosine,perifosine,0.25,5,perifosine_5_0.25,0.979474548,0.98518112,1.008100147,1.120959333,0.666368721,-2.365764921,2.175309495
treated,Oligomycin A,oligomycin-a,oligomycin-a,0.03125,0.3125,oligomycin-a_0.3125_0.03125,0.986042693,1.003293085,1.02724595,0.906152242,1.811132186,-1.736174326,1.317112436
treated,Oligomycin A,oligomycin-a,oligomycin-a,0.0625,0.625,oligomycin-a_0.625_0.0625,0.995484401,1.053787047,1.071428571,0.943691345,1.590032576,-2.120872435,1.15563058
treated,Oligomycin A,oligomycin-a,oligomycin-a,0.125,1.25,oligomycin-a_1.25_0.125,1.043924466,1.023600439,1.002209131,0.89468196,1.305620701,-2.113438113,0.930009138
treated,Oligomycin A,oligomycin-a,oligomycin-a,1,10,oligomycin-a_10_1,0.924876847,1.074094402,1.0544919,1.087591241,0.967850288,-0.524108244,0.46378732
treated,Oligomycin A,oligomycin-a,oligomycin-a,0.25,2.5,oligomycin-a_2.5_0.25,0.938013136,1.053787047,1.032400589,0.85818561,1.688996843,-2.008419213,0.832066255
treated,Oligomycin A,oligomycin-a,oligomycin-a,0.5,5,oligomycin-a_5_0.5,0.990147783,1.047749726,1.087628866,1.211678832,1.618268061,-1.401704379,1.150533873
treated,BTB06584,BTB06584,BTB06584,0.015625,0.3125,BTB06584_0.3125_0.015625,1.050952775,1.041759881,1.052833078,0.725925926,0.433965334,-2.157796062,1.465340579
treated,BTB06584,BTB06584,BTB06584,0.03125,0.625,BTB06584_0.625_0.03125,1.076222038,1.060402685,1.055895865,0.838095238,0.758112131,-2.453866644,1.486153499
treated,BTB06584,BTB06584,BTB06584,0.0625,1.25,BTB06584_1.25_0.0625,1.106462303,0.946308725,0.969372129,0.873015873,0.760177132,-2.301989516,1.248679217
treated,BTB06584,BTB06584,BTB06584,0.5,10,BTB06584_10_0.5,0.944490472,1.08650261,1.131699847,1.261375661,0.292463049,-1.155522197,2.170532559
treated,BTB06584,BTB06584,BTB06584,0.125,2.5,BTB06584_2.5_0.125,1.057166529,0.957494407,0.953292496,1.015873016,0.578956775,-2.427712039,1.518595332
treated,BTB06584,BTB06584,BTB06584,0.25,5,BTB06584_5_0.25,0.996685998,1.023862789,0.983154671,1.077248677,0.625886187,-2.186342012,1.733954808
treated,Golgicide A,golgicide-A,golgicide-A,0.015625,0.3125,golgicide-A_0.3125_0.015625,0.98094449,0.986577181,0.951761103,0.813756614,1.663997166,-2.171374464,0.49276348
treated,Golgicide A,golgicide-A,golgicide-A,0.03125,0.625,golgicide-A_0.625_0.03125,1,1.009694258,1.045941807,0.73015873,1.720087965,-2.072699072,0.198905585
treated,Golgicide A,golgicide-A,golgicide-A,0.0625,1.25,golgicide-A_1.25_0.0625,0.928748964,0.997017151,0.981623277,0.804232804,1.599620275,-2.131291236,0.127582591
treated,Golgicide A,golgicide-A,golgicide-A,0.5,10,golgicide-A_10_0.5,0.825600663,1.050708427,1.049770291,0.916402116,0.983244784,-1.942413533,1.557986494
treated,Golgicide A,golgicide-A,golgicide-A,0.125,2.5,golgicide-A_2.5_0.125,1.061723281,1.121551081,1.101071975,0.718518519,1.341760214,-2.149204341,0.539285096
