plate_well,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,cell_counts,label
1A1_B02,B02,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,2,595,1
1A1_B03,B03,Plate1_drugs,1,bleomycin,treated,1,20,1A1,2,3,684,7
1A1_B04,B04,Plate1_drugs,1,bleomycin,treated,0.5,10,1A1,2,4,725,6
1A1_B05,B05,Plate1_drugs,1,bleomycin,treated,0.25,5,1A1,2,5,595,5
1A1_B06,B06,Plate1_drugs,1,bleomycin,treated,0.125,2.5,1A1,2,6,790,4
1A1_B07,B07,Plate1_drugs,1,bleomycin,treated,0.0625,1.25,1A1,2,7,611,3
1A1_B08,B08,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,8,632,1
1A1_B09,B09,Plate1_drugs,1,bleomycin,treated,0.03125,0.625,1A1,2,9,638,2
1A1_B10,B10,Plate1_drugs,1,bleomycin,treated,0.015625,0.3125,1A1,2,10,554,1
1A1_B11,B11,Plate1_drugs,1,alvocidib,treated,1,20,1A1,2,11,120,7
1A1_B12,B12,Plate1_drugs,1,alvocidib,treated,0.5,10,1A1,2,12,111,6
1A1_B13,B13,Plate1_drugs,1,alvocidib,treated,0.25,5,1A1,2,13,121,5
1A1_B14,B14,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,14,700,1
1A1_B15,B15,Plate1_drugs,1,alvocidib,treated,0.125,2.5,1A1,2,15,213,4
1A1_B16,B16,Plate1_drugs,1,alvocidib,treated,0.0625,1.25,1A1,2,16,357,3
1A1_B17,B17,Plate1_drugs,1,alvocidib,treated,0.03125,0.625,1A1,2,17,452,2
1A1_B18,B18,Plate1_drugs,1,alvocidib,treated,0.015625,0.3125,1A1,2,18,566,1
1A1_B19,B19,Plate1_drugs,1,floxuridine,treated,1,20,1A1,2,19,483,7
1A1_B20,B20,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,20,674,1
1A1_B21,B21,Plate1_drugs,1,floxuridine,treated,0.5,10,1A1,2,21,449,6
1A1_B22,B22,Plate1_drugs,1,floxuridine,treated,0.25,5,1A1,2,22,506,5
1A1_B23,B23,Plate1_drugs,1,floxuridine,treated,0.125,2.5,1A1,2,23,508,4
1A1_C02,C02,Plate1_drugs,1,floxuridine,treated,0.0625,1.25,1A1,3,2,504,3
1A1_C03,C03,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,3,758,1
1A1_C04,C04,Plate1_drugs,1,floxuridine,treated,0.03125,0.625,1A1,3,4,583,2
1A1_C05,C05,Plate1_drugs,1,floxuridine,treated,0.015625,0.3125,1A1,3,5,605,1
1A1_C06,C06,Plate1_drugs,1,haloperidol,treated,1,20,1A1,3,6,749,7
1A1_C07,C07,Plate1_drugs,1,haloperidol,treated,0.5,10,1A1,3,7,770,6
1A1_C08,C08,Plate1_drugs,1,haloperidol,treated,0.25,5,1A1,3,8,621,5
1A1_C09,C09,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,9,745,1
1A1_C10,C10,Plate1_drugs,1,haloperidol,treated,0.125,2.5,1A1,3,10,760,4
1A1_C11,C11,Plate1_drugs,1,haloperidol,treated,0.0625,1.25,1A1,3,11,722,3
1A1_C12,C12,Plate1_drugs,1,haloperidol,treated,0.03125,0.625,1A1,3,12,762,2
1A1_C13,C13,Plate1_drugs,1,haloperidol,treated,0.015625,0.3125,1A1,3,13,852,1
1A1_C14,C14,Plate1_drugs,1,tolfenamic-acid,treated,1,20,1A1,3,14,735,7
1A1_C15,C15,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,15,719,1
1A1_C16,C16,Plate1_drugs,1,tolfenamic-acid,treated,0.5,10,1A1,3,16,785,6
1A1_C17,C17,Plate1_drugs,1,tolfenamic-acid,treated,0.25,5,1A1,3,17,761,5
1A1_C18,C18,Plate1_drugs,1,tolfenamic-acid,treated,0.125,2.5,1A1,3,18,791,4
1A1_C19,C19,Plate1_drugs,1,tolfenamic-acid,treated,0.0625,1.25,1A1,3,19,761,3
1A1_C20,C20,Plate1_drugs,1,tolfenamic-acid,treated,0.03125,0.625,1A1,3,20,784,2
1A1_C21,C21,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,21,853,1
1A1_C22,C22,Plate1_drugs,1,tolfenamic-acid,treated,0.015625,0.3125,1A1,3,22,770,1
1A1_C23,C23,Plate1_drugs,1,amygdalin,treated,1,20,1A1,3,23,714,7
1A1_D02,D02,Plate1_drugs,1,amygdalin,treated,0.5,10,1A1,4,2,810,6
1A1_D03,D03,Plate1_drugs,1,amygdalin,treated,0.25,5,1A1,4,3,702,5
1A1_D04,D04,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,4,859,1
1A1_D05,D05,Plate1_drugs,1,amygdalin,treated,0.125,2.5,1A1,4,5,856,4
1A1_D06,D06,Plate1_drugs,1,amygdalin,treated,0.0625,1.25,1A1,4,6,857,3
1A1_D07,D07,Plate1_drugs,1,amygdalin,treated,0.03125,0.625,1A1,4,7,957,2
1A1_D08,D08,Plate1_drugs,1,amygdalin,treated,0.015625,0.3125,1A1,4,8,849,1
1A1_D09,D09,Plate1_drugs,1,nocodazole,treated,1,20,1A1,4,9,141,7
1A1_D10,D10,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,10,860,1
1A1_D11,D11,Plate1_drugs,1,nocodazole,treated,0.5,10,1A1,4,11,228,6
1A1_D12,D12,Plate1_drugs,1,nocodazole,treated,0.25,5,1A1,4,12,508,5
1A1_D13,D13,Plate1_drugs,1,nocodazole,treated,0.125,2.5,1A1,4,13,584,4
1A1_D14,D14,Plate1_drugs,1,nocodazole,treated,0.0625,1.25,1A1,4,14,774,3
1A1_D15,D15,Plate1_drugs,1,nocodazole,treated,0.03125,0.625,1A1,4,15,784,2
1A1_D16,D16,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,16,764,1
1A1_D17,D17,Plate1_drugs,1,nocodazole,treated,0.015625,0.3125,1A1,4,17,855,1
1A1_D18,D18,Plate1_drugs,1,CPI-613,treated,1,20,1A1,4,18,841,7
1A1_D19,D19,Plate1_drugs,1,CPI-613,treated,0.5,10,1A1,4,19,848,6
1A1_D20,D20,Plate1_drugs,1,CPI-613,treated,0.25,5,1A1,4,20,861,5
1A1_D21,D21,Plate1_drugs,1,CPI-613,treated,0.125,2.5,1A1,4,21,797,4
1A1_D22,D22,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,22,852,1
1A1_D23,D23,Plate1_drugs,1,CPI-613,treated,0.0625,1.25,1A1,4,23,729,3
1A1_E02,E02,Plate1_drugs,1,CPI-613,treated,0.03125,0.625,1A1,5,2,725,2
1A1_E03,E03,Plate1_drugs,1,CPI-613,treated,0.015625,0.3125,1A1,5,3,828,1
1A1_E04,E04,Plate1_drugs,1,daunorubicin,treated,1,5,1A1,5,4,175,7
1A1_E05,E05,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,5,5,805,1
1A1_E06,E06,Plate1_drugs,1,daunorubicin,treated,0.5,2.5,1A1,5,6,284,6
1A1_E07,E07,Plate1_drugs,1,daunorubicin,treated,0.25,1.25,1A1,5,7,383,5
1A1_E08,E08,Plate1_drugs,1,daunorubicin,treated,0.125,0.625,1A1,5,8,649,4
1A1_E09,E09,Plate1_drugs,1,daunorubicin,treated,0.0625,0.3125,1A1,5,9,725,3
1A1_E10,E10,Plate1_drugs,1,daunorubicin,treated,0.03125,0.15625,1A1,5,10,781,2
1A1_E11,E11,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,5,11,755,1
1A1_E12,E12,Plate1_drugs,1,daunorubicin,treated,0.015625,0.078125,1A1,5,12,749,1
1A1_E13,E13,Plate1_drugs,1,chlortetracycline,treated,1,20,1A1,5,13,667,7
1A1_E14,E14,Plate1_drugs,1,chlortetracycline,treated,0.5,10,1A1,5,14,764,6
1A1_E15,E15,Plate1_drugs,1,chlortetracycline,treated,0.25,5,1A1,5,15,866,5
1A1_E16,E16,Plate1_drugs,1,chlortetracycline,treated,0.125,2.5,1A1,5,16,786,4
1A1_E17,E17,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,5,17,895,1
1A1_E18,E18,Plate1_drugs,1,chlortetracycline,treated,0.0625,1.25,1A1,5,18,930,3
1A1_E19,E19,Plate1_drugs,1,chlortetracycline,treated,0.03125,0.625,1A1,5,19,794,2
1A1_E20,E20,Plate1_drugs,1,chlortetracycline,treated,0.015625,0.3125,1A1,5,20,922,1
1A1_E21,E21,Plate1_drugs,1,mepacrine,treated,1,20,1A1,5,21,464,7
1A1_E22,E22,Plate1_drugs,1,mepacrine,treated,0.5,10,1A1,5,22,593,6
1A1_E23,E23,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,5,23,945,1
1A1_F02,F02,Plate1_drugs,1,mepacrine,treated,0.25,5,1A1,6,2,716,5
1A1_F03,F03,Plate1_drugs,1,mepacrine,treated,0.125,2.5,1A1,6,3,696,4
1A1_F04,F04,Plate1_drugs,1,mepacrine,treated,0.0625,1.25,1A1,6,4,827,3
1A1_F05,F05,Plate1_drugs,1,mepacrine,treated,0.03125,0.625,1A1,6,5,749,2
1A1_F06,F06,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,6,6,910,1
1A1_F07,F07,Plate1_drugs,1,mepacrine,treated,0.015625,0.3125,1A1,6,7,879,1
1A1_F08,F08,Plate1_drugs,1,irinotecan,treated,1,20,1A1,6,8,488,7
1A1_F09,F09,Plate1_drugs,1,irinotecan,treated,0.5,10,1A1,6,9,450,6
1A1_F10,F10,Plate1_drugs,1,irinotecan,treated,0.25,5,1A1,6,10,491,5
1A1_F11,F11,Plate1_drugs,1,irinotecan,treated,0.125,2.5,1A1,6,11,594,4
1A1_F12,F12,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,6,12,800,1
1A1_F13,F13,Plate1_drugs,1,irinotecan,treated,0.0625,1.25,1A1,6,13,560,3
